,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,3,2,0,0,1,4,1,1,1,37,26,6.418612218140623,True,IRON
1,4,4,0,0,0,0,2,1,1,1,40,27,6.456087127452172,True,IRON
2,1,9,0,2,0,0,2,0,0,1,23,35,-2.101813029209559,False,IRON
3,2,11,0,2,0,0,1,3,0,2,33,40,-0.23416854267446752,False,IRON
4,11,3,4,0,1,0,1,3,1,0,26,34,-5.978584948403579,True,IRON
5,10,6,2,0,0,1,4,1,0,1,52,38,6.431683411178618,True,IRON
6,3,4,0,0,0,0,4,0,0,2,19,10,9.087595996254208,True,IRON
7,3,8,0,2,0,1,3,1,1,0,31,43,-6.039894935276884,False,IRON
8,4,8,0,1,0,1,1,2,0,2,30,36,-4.9024367932958555,False,IRON
9,6,9,0,2,0,1,1,3,1,0,26,46,-10.53747877476534,False,IRON
10,10,5,2,0,1,0,3,1,0,2,40,26,9.642913854004316,True,IRON
11,11,1,3,0,0,0,2,2,1,1,27,15,4.896646638185388,True,IRON
12,9,5,2,0,1,0,2,2,1,1,39,42,1.0217348070909509,True,IRON
13,11,4,4,0,2,0,3,3,1,1,29,32,0.8483228150040603,True,IRON
14,10,2,3,0,1,0,3,0,1,1,38,14,10.610363752759746,True,IRON
15,4,11,0,3,1,1,2,4,1,1,53,65,-1.4909451673272471,False,IRON
16,9,10,2,1,1,1,3,2,1,1,62,53,-0.9845905055294111,False,IRON
17,0,11,0,3,0,1,0,4,0,2,11,36,-13.503122854653338,False,IRON
18,9,4,1,0,1,0,2,2,0,2,29,31,5.457296250196315,True,IRON
19,11,9,6,3,2,0,4,1,1,1,54,56,-3.4573398613483732,False,IRON
20,6,11,0,5,1,0,3,2,1,1,38,33,1.162909703192632,False,IRON
21,3,4,0,0,1,0,3,3,1,1,33,43,-0.8817631753342852,False,IRON
22,7,8,0,2,1,0,1,3,1,1,29,44,-3.0447773168558214,False,IRON
23,4,9,0,2,0,1,1,2,0,1,18,32,-6.31117276583096,False,IRON
24,8,0,2,0,0,0,4,0,2,0,38,19,11.412384491200928,True,IRON
25,9,7,3,2,0,1,5,0,1,0,48,43,0.48086736131702423,True,IRON
26,9,3,1,0,1,0,2,3,1,1,28,20,4.344954131300966,True,IRON
27,6,11,0,2,0,1,3,2,2,0,24,33,-2.5800095773386644,False,IRON
28,0,11,0,3,0,0,2,1,1,1,13,39,-13.47299678278722,False,IRON
29,10,8,2,3,1,0,4,2,0,2,61,47,3.7076844255943016,True,IRON
30,10,0,2,0,0,0,2,1,2,0,35,15,8.770157721531774,True,IRON
31,2,10,0,4,0,2,1,4,1,1,45,61,-4.199670373283418,False,IRON
32,11,2,4,0,1,0,4,0,1,0,37,19,11.471487594784605,True,IRON
33,6,11,1,3,0,0,2,1,0,2,35,47,-4.971791959444424,False,IRON
34,3,10,0,3,0,1,1,3,0,1,24,34,-7.520551745688941,False,IRON
35,6,7,0,1,1,0,4,2,1,1,32,38,1.7845572195866524,False,IRON
36,2,10,0,1,0,1,0,4,1,0,5,32,-18.823876465984064,False,IRON
37,4,11,0,3,0,2,2,2,1,0,28,36,-2.23652702328161,False,IRON
38,10,0,3,0,1,0,1,1,2,0,33,11,14.216921223448367,True,IRON
39,11,4,3,0,1,0,4,0,1,1,35,17,10.28280270844283,True,IRON
40,5,10,0,4,0,2,1,4,1,1,28,47,-3.8923521268952257,False,IRON
