,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,10,0,3,0,0,2,2,0,1,21,46,-6.181948071153087,False,BRONZE
1,6,8,0,1,1,1,2,3,1,1,28,50,-8.011728712406956,False,BRONZE
2,2,10,0,1,0,0,0,3,1,1,12,27,-9.798818005321571,False,BRONZE
3,7,5,1,1,1,0,4,0,0,2,51,35,5.286698010266001,True,BRONZE
4,6,7,1,2,1,2,2,4,0,2,48,58,-2.8862558580821798,False,BRONZE
5,10,8,2,0,1,1,3,3,1,1,52,49,1.1552056677331564,True,BRONZE
6,10,3,3,0,1,0,5,0,0,0,62,36,6.9643468855308654,True,BRONZE
7,7,7,1,1,1,0,4,1,1,0,42,49,0.38522231303857524,True,BRONZE
8,5,11,0,3,2,0,0,6,0,2,60,60,0.3609096454634013,False,BRONZE
9,5,9,0,2,0,1,2,2,2,0,41,48,-2.108444802907357,False,BRONZE
10,5,8,0,1,0,1,0,4,2,0,26,35,-5.981145819421286,False,BRONZE
11,6,9,0,2,1,1,2,4,1,0,39,55,-3.1698376161728277,False,BRONZE
12,10,4,1,0,1,0,4,0,1,1,45,18,12.764509653797994,True,BRONZE
13,5,5,2,1,1,0,3,2,0,2,48,26,8.619986601402786,True,BRONZE
14,11,3,4,0,1,0,3,1,2,0,58,49,0.043165820072090355,True,BRONZE
