,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,7,1,1,0,1,0,3,1,0,46,57,-1.4683896226739463,False,DIAMOND
1,7,7,0,1,0,1,0,2,0,1,34,41,-3.9659012379970164,False,DIAMOND
2,7,4,1,0,0,0,1,1,1,1,35,34,-1.7066251921449194,True,DIAMOND
3,4,10,0,1,0,1,0,3,0,1,26,71,-13.094943234730458,False,DIAMOND
4,4,9,0,2,0,0,1,1,1,0,29,46,-4.164375757886916,False,DIAMOND
5,7,1,0,0,0,0,1,1,0,1,38,33,3.027683318295267,True,DIAMOND
6,7,11,1,2,0,1,0,4,2,0,25,52,-15.225700705592526,False,DIAMOND
7,3,10,0,2,0,1,3,1,1,1,45,55,-1.1199973026112744,False,DIAMOND
8,7,3,1,0,1,0,3,1,1,1,48,25,9.184314130417988,True,DIAMOND
9,9,6,2,0,1,2,2,3,0,0,71,69,2.260675298096075,True,DIAMOND
10,4,2,1,0,0,0,1,2,1,0,18,38,-11.538506640933264,False,DIAMOND
11,8,7,1,1,0,1,1,2,1,0,47,56,-6.048300586062453,False,DIAMOND
12,11,0,3,0,0,0,3,0,0,0,39,27,4.615769812380137,True,DIAMOND
13,2,11,0,4,0,2,1,3,0,2,26,45,-5.519703573254226,False,DIAMOND
14,4,5,0,0,1,1,1,3,1,0,33,37,-3.1685359976786316,False,DIAMOND
15,8,7,1,0,1,1,4,2,1,1,40,28,7.063145803161724,True,DIAMOND
16,3,7,0,1,0,1,0,4,1,0,30,49,-5.385840641420231,False,DIAMOND
17,8,1,1,0,1,0,1,2,1,0,34,15,9.349535822635616,True,DIAMOND
18,5,4,0,0,2,0,3,2,1,1,42,33,5.883063440468007,True,DIAMOND
19,5,10,0,2,0,1,1,2,1,1,20,48,-10.575835322858595,False,DIAMOND
20,2,7,0,1,0,1,0,3,1,1,12,23,-7.543179799570609,False,DIAMOND
21,7,11,1,2,0,1,2,2,1,1,40,41,-3.1982781476053077,True,DIAMOND
22,7,4,1,0,1,0,3,2,0,2,44,32,6.439195411834717,True,DIAMOND
23,3,9,0,2,0,1,1,3,0,2,21,45,-11.699634212131109,False,DIAMOND
24,7,4,1,0,1,0,3,0,0,2,32,29,0.5300260503405667,True,DIAMOND
25,2,11,0,2,0,1,1,3,0,1,20,30,-0.9110725687956958,False,DIAMOND
26,9,6,2,1,1,1,4,1,2,0,35,21,9.329808130051923,True,DIAMOND
27,9,3,1,0,0,1,3,1,1,1,38,30,5.860990439260547,True,DIAMOND
28,8,1,1,0,0,0,2,1,0,0,27,24,1.498821325377385,True,DIAMOND
29,4,11,0,3,0,3,0,5,0,2,42,55,-3.849295902849029,False,DIAMOND
30,9,5,3,0,1,0,3,0,0,2,36,23,5.623922098927366,True,DIAMOND
31,4,10,0,2,0,1,2,2,2,0,17,34,-9.986767389286001,False,DIAMOND
