,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,1,3,0,0,0,1,3,1,1,45,29,6.233488991968535,True,BRONZE
1,9,1,1,0,0,0,4,1,0,2,41,42,-2.28000924153595,True,BRONZE
2,8,3,0,0,1,0,4,0,1,1,32,23,2.821239527676738,True,BRONZE
3,2,7,0,1,0,1,1,4,0,2,20,37,-3.9988119363226957,False,BRONZE
4,9,3,1,0,0,1,3,1,1,0,61,40,6.252183182030379,True,BRONZE
5,9,7,1,0,0,1,1,4,1,1,25,41,-7.4200752983474345,True,BRONZE
6,6,6,0,1,0,1,2,3,0,1,34,52,-6.018043436866293,False,BRONZE
7,11,1,3,0,0,0,3,1,2,0,57,35,11.055936740110873,True,BRONZE
8,6,8,0,1,0,1,2,2,0,2,16,27,-8.64180058137137,False,BRONZE
9,3,6,0,0,0,0,1,2,1,0,13,35,-7.257315764542067,False,BRONZE
10,10,4,2,0,1,0,2,1,1,1,26,13,7.293590952563662,True,BRONZE
11,7,3,2,0,1,0,1,2,1,1,36,20,5.6498015981108765,True,BRONZE
12,4,9,0,2,0,1,1,3,1,0,29,42,-5.166325511890932,False,BRONZE
13,7,8,1,1,0,1,2,2,0,2,31,40,-4.262102903172121,False,BRONZE
14,1,9,0,2,0,2,1,3,2,0,30,41,-4.934003776075684,False,BRONZE
15,8,3,1,0,1,0,1,3,2,0,28,8,10.590387189458951,True,BRONZE
16,4,6,0,0,0,2,2,2,1,1,37,49,-3.642724511664447,False,BRONZE
17,6,10,1,2,0,2,1,4,0,2,35,39,-3.161666052372553,False,BRONZE
18,5,10,0,2,0,2,1,4,1,1,36,46,-2.8277447485609457,False,BRONZE
19,9,6,2,0,1,1,4,2,0,2,43,26,3.1739348205179,True,BRONZE
20,10,6,2,0,1,0,1,3,0,2,41,30,6.951771078718579,True,BRONZE
21,11,6,3,0,1,0,3,2,0,2,44,26,8.495724352585412,True,BRONZE
22,2,11,0,2,0,1,2,2,0,2,14,50,-13.72445348598847,False,BRONZE
23,9,1,3,0,1,0,2,1,2,0,46,27,11.819516206338829,True,BRONZE
24,3,9,0,1,0,1,1,2,1,1,23,38,-7.596496413056023,False,BRONZE
25,8,8,2,1,0,1,1,5,1,1,27,54,-7.201989471781566,False,BRONZE
26,11,6,3,1,0,1,3,3,0,1,43,56,-1.3352245762544825,True,BRONZE
27,11,6,3,0,1,0,2,3,0,0,53,37,4.546032173851529,True,BRONZE
28,10,5,1,0,0,1,3,1,1,1,32,32,0.40202750367988926,True,BRONZE
29,7,10,1,2,2,1,2,3,1,1,46,56,-1.675307439568968,False,BRONZE
30,9,4,3,0,1,0,4,1,0,2,46,33,3.1161404635051326,True,BRONZE
31,0,7,0,1,0,0,1,1,0,0,15,35,-10.142934480959127,False,BRONZE
32,3,7,0,1,0,0,2,2,2,0,16,26,-8.233147208216394,False,BRONZE
33,8,9,2,2,1,0,4,2,2,0,38,43,-8.21458560042204,False,BRONZE
34,11,4,2,0,1,0,3,1,1,1,35,25,5.111318299422685,True,BRONZE
35,7,10,1,1,0,1,1,5,2,0,41,61,-4.492291826567197,False,BRONZE
36,0,9,0,1,0,0,1,3,0,1,37,45,-3.8909143366379766,False,BRONZE
37,8,5,1,0,1,0,3,1,0,2,39,30,5.165791239131558,True,BRONZE
