,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,1,2,0,1,0,2,2,2,0,40,19,13.893233951483193,True,PLATINUM
1,1,9,0,2,0,0,1,3,0,1,17,45,-10.534242575302436,False,PLATINUM
2,7,7,1,2,1,0,3,2,1,1,47,40,1.5962747098972443,True,PLATINUM
3,9,6,2,0,2,0,4,1,0,2,39,39,0.026542006673381024,True,PLATINUM
4,6,11,0,4,0,1,2,2,1,1,33,40,-2.753044837762147,False,PLATINUM
5,11,7,3,1,3,0,4,3,2,0,41,28,5.449403237756933,True,PLATINUM
6,6,7,0,1,1,1,1,3,2,0,35,35,5.863390559460761,False,PLATINUM
7,5,11,0,4,1,1,3,2,0,2,46,46,-4.597744689047673,False,PLATINUM
8,3,5,0,1,0,0,0,3,1,1,20,37,-9.461307112794906,False,PLATINUM
9,5,10,1,2,0,1,0,4,0,2,32,46,-9.38903567050913,False,PLATINUM
10,11,3,3,0,1,0,3,1,1,1,41,39,3.3088951210468096,True,PLATINUM
11,5,10,0,2,0,2,1,4,1,1,42,52,0.06012333530335212,False,PLATINUM
12,11,0,3,0,1,0,3,1,2,0,37,25,9.599745894653253,True,PLATINUM
13,5,8,0,1,1,0,0,4,2,0,28,37,-5.906591329818106,False,PLATINUM
14,4,8,0,1,0,1,1,2,1,1,16,31,-11.852175642318763,False,PLATINUM
15,0,10,0,2,0,1,0,3,1,1,10,34,-13.176926179242393,False,PLATINUM
16,11,5,5,1,1,2,2,3,2,0,45,46,-3.9525853412347587,False,PLATINUM
17,11,1,3,0,1,0,4,0,2,0,33,12,13.446902224061205,True,PLATINUM
18,2,11,0,3,0,1,0,4,0,2,23,40,-5.213387185524482,False,PLATINUM
19,2,11,0,1,0,2,2,3,2,0,27,34,-3.8973083355427036,False,PLATINUM
20,8,7,1,1,0,2,4,2,1,1,38,25,6.074039804061556,True,PLATINUM
21,4,8,1,1,0,1,0,1,1,1,32,41,-2.2415016437343382,False,PLATINUM
22,6,9,0,3,0,1,3,3,1,1,26,47,-7.752972261892538,False,PLATINUM
23,3,6,0,2,1,0,2,3,1,1,33,41,-6.302937313843458,False,PLATINUM
24,7,5,1,0,1,0,4,0,1,1,28,22,2.8330136700447923,True,PLATINUM
25,9,3,2,0,1,0,1,2,1,1,36,12,8.123918519818318,True,PLATINUM
26,7,5,1,0,2,0,3,2,0,1,46,34,1.9780819251018045,True,PLATINUM
27,8,4,1,0,1,0,2,3,2,0,49,39,0.939694282077113,True,PLATINUM
28,7,5,1,0,1,0,2,2,1,0,29,30,-0.031013377326139846,True,PLATINUM
29,3,11,0,2,0,2,2,3,0,1,41,39,1.044051727083236,False,PLATINUM
30,2,9,0,3,0,1,1,2,1,1,18,32,-9.514025989581548,False,PLATINUM
31,1,10,0,1,1,0,1,2,0,0,18,26,-5.403340302968594,False,PLATINUM
32,0,11,0,3,0,2,2,2,1,1,31,41,-9.075844367788697,False,PLATINUM
33,9,9,1,2,2,0,5,2,0,2,31,22,4.7072232964712555,True,PLATINUM
34,11,4,2,0,1,0,4,0,0,2,45,21,12.926981921024847,True,PLATINUM
35,7,2,1,0,1,0,3,0,2,0,34,12,10.863648685201369,True,PLATINUM
