,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,2,2,0,1,0,4,1,2,0,45,29,3.733553880983365,True,BRONZE
1,7,2,1,0,2,0,4,1,1,1,41,28,4.243643826718461,True,BRONZE
2,2,10,0,2,0,1,0,4,0,1,15,28,-4.010175217890556,False,BRONZE
3,11,4,3,0,1,0,3,2,1,1,40,30,5.756732301581742,True,BRONZE
4,4,7,0,2,0,1,1,2,0,1,30,38,-4.927324077714999,False,BRONZE
5,11,3,3,0,1,0,3,1,1,1,33,21,4.755728818775381,True,BRONZE
6,7,2,0,0,0,0,1,2,2,0,27,19,5.07953297407726,True,BRONZE
7,0,10,0,2,0,0,1,2,0,1,12,30,-12.656955881318595,False,BRONZE
8,11,9,2,1,1,0,0,5,0,1,44,56,-0.05849357496779106,False,BRONZE
9,9,7,2,1,1,1,3,2,1,1,42,41,-1.151508723493336,False,BRONZE
10,6,3,0,0,0,0,2,1,1,1,30,19,8.398354234799434,True,BRONZE
11,11,7,3,1,1,0,2,2,1,1,36,36,-0.3080571848987219,True,BRONZE
12,0,7,0,0,0,0,1,2,1,1,12,29,-13.475703387402028,False,BRONZE
13,11,0,3,0,1,0,3,0,2,0,24,15,9.498063865433636,True,BRONZE
14,9,4,2,0,1,0,4,0,1,1,34,31,4.960245617349983,True,BRONZE
15,9,3,1,0,1,0,2,3,1,1,30,29,0.14736531481482018,True,BRONZE
16,3,5,0,0,0,1,0,3,1,1,8,23,-17.361795034999922,False,BRONZE
17,11,0,2,0,0,0,3,0,1,0,37,17,7.742022082211626,True,BRONZE
18,10,7,2,2,0,2,1,4,1,0,53,33,5.277524945417504,True,BRONZE
19,4,11,0,3,0,1,1,3,0,2,27,37,-2.9253751317614416,False,BRONZE
20,11,4,3,0,1,0,4,0,2,0,39,22,6.28555765348348,True,BRONZE
21,2,10,0,2,0,1,1,3,0,2,21,51,-6.193540563674588,False,BRONZE
22,4,2,1,1,0,0,0,0,0,0,83,48,5.736252616588118,True,BRONZE
23,6,10,0,3,0,1,2,3,1,0,32,46,-5.3227808958089895,False,BRONZE
24,11,1,4,0,1,0,4,0,1,0,45,35,1.1530889974827403,True,BRONZE
25,2,9,0,1,0,1,0,4,0,2,25,30,-0.9465495590928654,False,BRONZE
26,11,5,3,1,1,0,4,0,0,2,28,22,8.603486930745376,True,BRONZE
27,6,10,0,2,0,2,2,2,1,0,35,45,-6.836546295346132,False,BRONZE
28,3,11,0,4,0,2,1,4,2,0,39,50,-4.263481261500544,False,BRONZE
29,10,5,3,2,2,0,4,2,1,1,40,34,1.0117080891622052,True,BRONZE
30,3,6,0,1,0,0,1,4,2,0,22,40,-8.616821755693849,False,BRONZE
31,10,3,3,0,0,0,4,1,1,1,47,24,9.509264462833293,True,BRONZE
32,4,11,0,3,0,1,3,2,0,1,31,49,-4.970433634083378,False,BRONZE
33,1,6,0,1,0,0,2,1,0,1,38,49,-2.913488667305579,False,BRONZE
34,4,6,0,1,0,1,3,1,1,0,15,22,-5.7981398705973675,False,BRONZE
35,10,2,3,0,0,1,2,2,2,0,29,21,3.9006855204949673,True,BRONZE
