,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,6,1,0,1,1,1,4,0,1,30,42,-4.038609917715618,True,BRONZE
1,11,4,3,0,2,0,3,2,1,1,47,24,7.508109331451735,True,BRONZE
2,10,3,3,0,0,0,3,2,1,1,46,30,12.145830045704962,True,BRONZE
3,5,3,0,0,0,0,1,1,0,2,28,25,-2.273862974509875,True,BRONZE
4,0,7,0,1,0,1,0,4,0,2,11,30,-14.103835795359288,False,BRONZE
5,2,6,0,1,0,1,2,2,1,1,11,29,-11.248488768154576,False,BRONZE
6,2,9,0,2,0,1,0,4,0,2,19,35,-10.204779763148707,False,BRONZE
7,6,1,1,0,0,0,3,0,1,1,29,12,12.28086572250173,True,BRONZE
8,7,11,1,3,1,1,2,3,0,2,32,45,-5.624714232626189,False,BRONZE
9,0,8,0,1,0,1,2,1,0,2,8,25,-17.300929311077034,False,BRONZE
10,10,4,3,0,2,0,4,1,1,0,46,28,4.471638071032579,True,BRONZE
11,9,1,2,0,0,0,3,0,1,1,35,24,7.893408703355888,True,BRONZE
12,1,9,0,2,0,1,0,3,1,1,21,44,-11.31776318940095,False,BRONZE
13,8,7,1,0,1,0,1,5,1,1,38,36,1.1498712964886337,True,BRONZE
14,4,10,0,3,0,0,2,2,0,1,22,26,-4.875183297451173,False,BRONZE
15,2,11,0,4,0,1,0,4,0,1,16,31,-11.10345679767402,False,BRONZE
16,11,5,4,0,1,0,2,3,1,1,43,35,3.9717676373830457,True,BRONZE
17,8,7,1,1,0,1,5,0,1,0,38,23,6.932621163623992,True,BRONZE
18,1,4,0,0,0,0,0,3,1,1,14,28,-7.539030840218537,False,BRONZE
19,11,6,3,0,3,0,2,3,0,1,44,37,3.0007992713146123,True,BRONZE
20,11,1,3,0,2,0,2,2,1,0,32,16,8.371730901328213,True,BRONZE
21,6,8,1,2,1,2,2,3,1,0,39,48,-6.525891589477702,False,BRONZE
22,5,4,0,0,1,0,1,2,1,1,37,12,14.218103356365894,True,BRONZE
23,4,9,0,1,0,1,2,2,0,2,29,38,-7.155286338028972,False,BRONZE
24,8,3,1,0,0,0,4,1,1,1,66,52,6.6117098469550655,True,BRONZE
25,8,10,1,5,2,0,5,1,1,0,56,46,7.789574902522581,True,BRONZE
26,4,11,0,3,0,2,1,3,2,0,37,42,-3.0422729278965903,False,BRONZE
27,1,7,0,2,0,1,2,1,1,0,30,38,-5.916760431436771,False,BRONZE
28,3,9,0,2,0,1,2,2,2,0,29,36,-6.587018404329619,False,BRONZE
29,2,11,0,3,0,1,1,4,0,2,23,41,-6.8667800274063495,False,BRONZE
30,9,2,2,0,0,0,3,0,1,1,39,13,12.934860428748756,True,BRONZE
31,11,2,1,0,1,0,3,1,1,0,27,18,5.386651521604499,True,BRONZE
32,8,11,1,8,1,2,3,2,1,1,63,47,6.409811499640433,True,BRONZE
33,1,11,0,2,0,1,1,2,0,2,25,47,-11.842895122710402,False,BRONZE
34,1,10,0,3,0,0,1,1,0,1,28,38,-2.9681106654200846,False,BRONZE
35,1,9,0,2,0,1,1,1,0,1,29,45,-4.9552201273945755,False,BRONZE
36,3,9,0,2,0,1,1,4,1,0,26,34,-2.7459986706087633,False,BRONZE
37,10,10,3,5,3,2,4,4,2,0,50,48,2.401432325136092,True,BRONZE
38,5,9,0,2,0,2,2,2,1,0,25,45,-9.654596412150283,False,BRONZE
39,2,5,0,1,0,0,2,1,1,0,14,38,-15.519996931349318,False,BRONZE
40,11,1,3,0,0,0,3,0,2,0,25,16,11.88695620788964,True,BRONZE
41,0,7,0,1,0,0,1,2,0,2,24,42,-6.5409240560722495,False,BRONZE
