,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,2,1,0,1,0,1,2,1,1,24,13,8.205521690378092,True,IRON
1,11,9,3,2,1,0,3,2,2,0,56,48,11.513063390018146,False,IRON
2,5,1,0,0,0,0,2,1,1,1,27,12,12.612574981026668,True,IRON
3,0,10,0,2,0,1,1,3,0,0,21,37,-6.2269328654582665,False,IRON
4,10,7,1,1,2,0,4,1,1,1,44,32,7.092506628668353,True,IRON
5,4,9,0,2,0,1,1,3,0,2,15,32,-9.485444067887435,False,IRON
6,3,10,0,3,0,0,2,2,0,1,50,45,2.8604893238220086,False,IRON
7,2,11,0,4,0,1,3,2,0,2,34,34,-1.7400174294258335,False,IRON
8,3,9,0,3,0,0,1,4,2,0,25,52,-4.2565280285362945,False,IRON
9,1,11,0,3,0,0,0,3,1,1,19,36,-12.129188933001416,False,IRON
10,6,10,2,1,1,1,3,4,2,0,49,54,-0.7705421352051545,False,IRON
11,3,10,0,1,0,1,2,2,0,2,21,39,-8.23972782681443,False,IRON
12,5,2,0,0,0,0,1,2,0,2,23,14,8.477416414734599,True,IRON
13,8,9,2,2,0,1,1,3,0,1,60,59,-4.705888424308519,False,IRON
14,2,9,0,2,0,1,1,2,2,0,18,40,-11.074193013455634,False,IRON
15,10,8,3,1,3,0,3,4,1,0,59,55,4.0479791820032105,True,IRON
16,8,5,1,0,0,0,2,2,0,2,54,28,8.197642714996746,True,IRON
17,6,3,0,0,0,0,3,0,0,2,25,9,13.90073776834835,True,IRON
18,2,10,0,2,0,0,2,2,1,0,31,40,-1.351054154575472,False,IRON
19,3,10,0,2,0,1,2,3,0,2,35,44,-4.218298856815927,False,IRON
20,0,5,0,0,0,1,0,3,0,1,34,46,-1.9603034049353738,False,IRON
21,2,8,0,2,0,0,0,3,1,0,17,51,-15.423378759249331,False,IRON
22,11,3,3,0,1,0,3,0,2,0,36,29,5.584226372932335,True,IRON
23,3,5,0,0,0,1,0,4,0,1,31,41,-3.997853141195314,False,IRON
24,5,4,0,0,0,1,2,1,2,0,16,31,-13.062612436949529,False,IRON
25,11,1,3,0,0,0,4,1,1,1,41,25,8.61540892332036,True,IRON
26,2,7,0,0,1,0,4,0,0,0,32,38,-1.0576118477295964,True,IRON
27,4,9,0,2,1,0,2,3,0,1,28,42,-7.966985548449429,False,IRON
28,7,8,1,1,1,0,2,2,1,1,51,34,2.2112845326409953,True,IRON
29,3,11,0,3,0,1,2,2,1,1,24,46,-8.924139360321035,False,IRON
30,11,4,6,0,1,0,4,2,1,0,43,44,-1.5535120129179845,True,IRON
