,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,8,0,2,1,0,1,3,0,0,32,57,-9.899931989097496,False,DIAMOND
1,7,3,1,0,1,0,2,2,0,1,36,31,4.755568205418342,True,DIAMOND
2,6,7,0,1,1,2,4,1,0,2,14,33,-10.94255770085448,False,DIAMOND
3,11,6,2,0,3,0,4,2,1,0,58,54,3.779394469068137,True,DIAMOND
4,4,10,0,3,0,1,1,3,0,2,39,69,-9.395140992982391,False,DIAMOND
5,11,1,3,0,0,0,3,1,1,0,47,36,4.073020641674113,True,DIAMOND
6,11,9,3,4,2,2,4,3,0,1,51,63,-1.3936708623967888,True,DIAMOND
7,3,11,0,2,0,0,1,2,0,2,33,63,-9.657825983274428,False,DIAMOND
8,3,4,0,0,0,0,0,3,1,1,24,34,-6.250734139217101,False,DIAMOND
9,5,8,0,1,1,0,1,2,0,1,33,52,-8.586616725401612,False,DIAMOND
10,11,6,2,0,0,2,2,4,0,1,51,48,3.95048235886663,True,DIAMOND
11,10,2,1,0,1,0,3,0,0,1,29,15,10.90834569239221,True,DIAMOND
12,9,9,2,1,0,2,0,5,0,2,28,58,-9.710052641621608,False,DIAMOND
13,11,0,2,0,0,0,2,1,0,1,48,22,11.379351986260126,True,DIAMOND
14,4,4,1,2,0,0,0,0,0,0,96,101,-0.09810564234683028,True,DIAMOND
15,7,7,1,1,1,1,3,2,1,1,43,41,0.4062048019088351,False,DIAMOND
16,4,9,0,2,0,1,0,3,0,1,14,39,-13.370464978531295,False,DIAMOND
17,2,10,0,2,0,1,1,2,0,1,26,45,-10.270945133741584,False,DIAMOND
18,2,4,2,1,0,0,0,0,0,0,68,81,-1.6793352969585698,False,DIAMOND
19,7,4,1,0,1,0,2,3,0,0,56,33,7.046683758614577,True,DIAMOND
20,10,3,1,0,0,1,2,2,1,1,42,30,7.496474220465949,True,DIAMOND
21,3,11,0,5,0,1,1,3,0,2,45,44,-2.0991921373055717,False,DIAMOND
22,1,4,0,2,0,0,0,0,0,0,75,97,-3.2983503932542533,False,DIAMOND
23,4,4,0,0,0,1,2,1,1,1,37,42,-2.410096876050261,False,DIAMOND
24,1,9,0,1,0,0,3,0,0,1,20,29,-5.026026296124542,False,DIAMOND
25,9,6,1,1,2,0,3,2,1,0,41,46,3.4359274806140334,True,DIAMOND
26,9,3,2,0,1,0,1,1,2,0,32,25,4.1310455291412325,True,DIAMOND
27,5,10,0,3,1,1,0,4,0,0,70,53,2.7205334190264736,False,DIAMOND
28,4,8,0,1,1,0,1,2,1,1,41,56,-6.424995714652773,False,DIAMOND
29,2,4,2,2,0,0,0,0,0,0,73,78,-3.0954883985587074,False,DIAMOND
