,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,11,0,3,0,1,1,4,1,1,41,49,-4.2202495421159725,False,IRON
1,4,1,1,0,0,0,0,0,0,0,64,60,-2.2034044237052086,True,IRON
2,11,3,3,0,1,0,3,1,2,0,33,13,14.358951693101655,True,IRON
3,0,4,0,1,0,0,0,0,0,0,45,75,-9.984501267662722,False,IRON
4,8,10,1,2,0,3,4,2,1,1,50,52,0.7637186700641578,False,IRON
5,9,4,1,0,0,2,3,3,1,0,63,55,3.8120164733730135,True,IRON
6,10,3,2,0,1,0,4,1,0,1,46,34,6.535409567659336,True,IRON
7,1,4,0,2,0,0,0,0,0,0,58,74,-3.9813969144127555,False,IRON
8,10,6,2,0,1,0,3,3,1,1,58,48,5.995934633944607,True,IRON
9,2,11,0,3,0,1,2,2,1,1,18,42,-16.595615150050115,False,IRON
10,4,1,2,0,0,0,0,0,0,0,63,58,-0.09515422425510422,True,IRON
11,0,11,0,2,0,0,0,3,0,1,19,33,-16.033433419135886,False,IRON
12,1,11,0,3,0,1,0,3,1,0,16,29,-7.15563258013708,False,IRON
13,0,4,0,1,0,0,0,0,0,0,54,57,-2.1337268842577117,False,IRON
14,4,1,3,0,0,0,0,0,0,0,76,65,6.064790382438318,True,IRON
15,5,9,0,2,0,1,0,4,0,2,28,37,-12.554872669063535,False,IRON
16,4,2,1,0,0,0,0,0,0,0,89,78,0.2969548829331359,True,IRON
