,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,5,2,0,2,0,1,4,1,0,63,50,4.536984219757784,True,IRON
1,10,2,3,0,1,0,4,1,0,1,45,31,8.377755876197007,True,IRON
2,2,10,0,1,0,1,0,3,0,2,25,36,-4.839046998696567,False,IRON
3,3,7,0,1,0,0,0,4,1,1,20,34,-5.629800975211786,False,IRON
4,1,11,0,3,0,1,1,2,0,1,28,40,-10.981297556086332,False,IRON
5,9,6,2,0,1,0,4,1,0,1,38,34,5.968909440701687,True,IRON
6,8,3,2,0,1,0,3,1,1,0,42,21,13.515203627629944,True,IRON
7,1,10,0,2,0,0,0,4,1,1,20,29,-6.7925306974806325,False,IRON
8,10,2,2,0,1,0,2,2,2,0,36,25,3.943322404030681,True,IRON
9,4,8,0,2,0,1,2,1,1,1,36,20,0.9474623147869607,False,IRON
10,1,4,0,0,0,0,2,1,0,2,14,23,-8.441339111765561,False,IRON
11,6,3,1,0,0,0,1,2,1,1,30,25,2.1806741535112124,True,IRON
12,2,11,0,3,0,1,0,4,2,0,33,37,-0.31467734523327806,False,IRON
13,6,10,0,2,1,1,4,1,0,0,54,51,0.6290023524308594,False,IRON
14,2,9,0,4,0,2,0,4,0,2,15,37,-12.378962263004773,False,IRON
15,0,11,0,3,0,1,0,4,0,2,15,27,-6.262672404996394,False,IRON
16,1,8,0,1,0,1,1,2,2,0,24,41,-5.951508012481021,False,IRON
17,7,4,1,0,1,0,4,0,0,2,52,37,9.826858734784047,True,IRON
18,1,11,0,2,0,1,0,4,1,0,21,38,-8.984679009169398,False,IRON
19,11,3,4,0,0,0,2,2,0,1,50,39,5.578824925015674,True,IRON
20,5,11,1,3,0,0,1,3,0,1,34,44,-0.8082092637634304,False,IRON
21,9,5,2,0,0,2,2,2,0,1,43,45,-1.0707811198662114,True,IRON
22,10,2,3,0,0,0,3,0,2,0,36,25,3.3187166407287023,True,IRON
23,8,4,2,0,0,0,4,1,0,2,48,38,3.7894625590687454,True,IRON
24,10,5,1,0,0,0,3,0,0,2,36,25,7.648782132434228,True,IRON
25,2,11,0,3,0,0,0,3,1,1,21,29,-8.002679408952261,False,IRON
26,4,10,0,2,0,1,0,3,0,0,30,44,-6.798747755254375,False,IRON
27,9,11,3,3,1,2,4,3,2,0,50,57,-1.1114443784862615,False,IRON
28,9,1,3,0,0,0,4,0,2,0,48,27,9.31648522777806,True,IRON
29,7,3,1,0,0,0,3,0,0,1,34,24,7.844216162792748,True,IRON
30,4,9,0,1,0,2,4,1,2,0,32,44,-8.913301297976318,False,IRON
31,2,4,2,1,0,0,0,0,0,0,83,73,-2.1460610772959328,False,IRON
32,10,2,3,0,1,0,4,0,2,0,40,17,14.330081375811183,True,IRON
33,11,6,5,0,0,0,4,1,2,0,54,45,4.192890873269157,True,IRON
34,10,2,3,0,2,0,6,0,0,1,48,41,4.030896871278415,True,IRON
35,7,5,1,0,0,0,1,3,2,0,35,30,5.432482061383325,True,IRON
36,8,2,1,0,0,0,4,0,1,0,52,22,8.885401055674222,True,IRON
37,9,3,1,0,1,0,3,2,0,1,42,33,5.569768076937002,True,IRON
