,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,9,0,1,0,1,1,3,0,1,23,37,-5.7892726266459285,False,BRONZE
1,4,1,2,0,0,0,0,0,0,0,77,57,5.944127616463184,True,BRONZE
2,7,7,0,1,0,1,2,2,1,0,25,46,-9.136527806853067,False,BRONZE
3,2,11,0,3,0,1,2,2,0,1,15,38,-9.551379024277793,False,BRONZE
4,7,1,0,0,1,0,2,1,1,0,35,24,2.8289349060867934,True,BRONZE
5,4,9,0,1,0,0,1,4,2,0,24,44,-9.436327656333347,False,BRONZE
6,2,9,0,1,0,0,0,4,0,1,27,50,-7.619791116474055,False,BRONZE
7,8,8,1,4,0,0,0,4,1,0,55,23,0.7346992192118122,True,BRONZE
8,3,11,0,3,1,0,3,2,1,1,37,41,-1.8555674363419428,False,BRONZE
9,3,11,0,3,0,2,4,1,0,2,35,41,-0.6564309197776197,False,BRONZE
10,6,9,1,1,1,1,4,2,0,1,39,56,-4.091748401427282,False,BRONZE
11,0,11,0,1,0,0,0,3,1,1,13,35,-12.688542870737336,False,BRONZE
12,4,10,0,3,0,1,0,5,2,0,39,40,-0.2599637008899336,False,BRONZE
13,9,9,1,1,0,1,3,3,1,1,38,43,-6.538848215857371,True,BRONZE
14,7,5,1,2,1,0,4,1,0,2,38,35,1.8172623511235741,True,BRONZE
15,2,7,0,1,0,1,2,2,1,1,27,50,-8.098083680669646,False,BRONZE
16,7,9,0,1,2,0,2,3,0,1,36,41,-3.8212540948474967,False,BRONZE
17,11,9,1,1,1,0,3,2,0,1,38,50,0.30800070223066456,True,BRONZE
18,8,6,2,1,0,1,3,2,0,2,43,25,13.804722635546877,True,BRONZE
19,11,0,3,0,1,0,4,0,1,0,38,19,8.767536478326079,True,BRONZE
20,7,6,1,0,1,1,4,2,0,2,49,43,-0.6167048216696713,True,BRONZE
21,11,2,3,0,1,0,3,0,1,0,35,31,4.3309245035650505,True,BRONZE
22,1,10,0,2,0,1,0,4,0,1,25,52,-11.892308416340086,False,BRONZE
23,0,9,0,1,0,1,0,4,1,1,11,28,-10.113062439510486,False,BRONZE
24,6,5,1,1,1,1,4,1,2,0,47,30,6.775209286750261,True,BRONZE
25,3,5,0,0,0,0,1,2,1,0,32,35,0.7981812428689565,False,BRONZE
26,3,11,0,3,0,1,2,2,0,1,22,39,-8.824108365973636,False,BRONZE
