,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,6,0,0,0,1,4,0,0,2,36,28,2.2166197341114113,True,IRON
1,7,2,0,0,0,0,3,0,1,1,39,31,2.6912381031813197,True,IRON
2,10,4,4,0,2,0,3,2,1,0,41,32,-0.16037482078750998,True,IRON
3,1,9,0,1,0,1,0,4,1,0,18,37,-9.820216472419595,False,IRON
4,3,9,0,1,0,0,1,2,1,1,30,39,-2.2578337024061597,False,IRON
5,9,0,1,0,0,0,2,1,1,0,61,22,10.928888615228722,True,IRON
6,1,11,0,2,0,0,0,3,1,0,19,32,-7.662364245921246,False,IRON
7,9,3,1,0,1,0,3,2,1,1,51,36,13.133359392307007,True,IRON
8,6,7,0,1,1,0,3,2,1,1,44,29,5.109128784346673,False,IRON
9,2,10,0,2,0,0,0,3,1,0,16,56,-10.529687034656234,False,IRON
10,4,7,0,2,0,0,1,2,2,0,45,39,8.63983461399351,False,IRON
11,0,8,0,2,0,1,1,3,0,2,18,26,-7.066868202546381,False,IRON
12,3,8,0,1,0,0,0,3,1,0,7,28,-18.880870812220678,False,IRON
13,11,8,6,2,2,0,4,2,1,0,70,48,-0.7996172207920509,False,IRON
14,10,9,4,4,0,2,4,3,0,2,52,45,-4.153187454762794,True,IRON
15,10,10,2,3,0,1,2,3,0,1,55,62,-2.961730378124795,False,IRON
16,2,4,0,1,0,0,0,0,0,0,34,48,-6.324044780328897,False,IRON
