,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,10,0,2,0,2,3,1,0,1,35,44,-0.5689436039895099,False,DIAMOND
1,2,10,0,1,0,2,0,3,0,1,27,28,2.1636478569054916,False,DIAMOND
2,9,4,1,0,2,0,1,3,1,1,33,38,-6.210070696362784,True,DIAMOND
3,8,8,2,1,0,2,1,3,1,1,37,49,-6.008990523526606,False,DIAMOND
4,11,1,2,0,1,0,2,2,2,0,41,20,9.19593180042638,True,DIAMOND
5,4,7,0,1,0,1,1,3,2,0,30,35,-2.7828843403292893,False,DIAMOND
6,8,5,1,0,1,1,2,2,2,0,51,36,3.9275758604183295,True,DIAMOND
7,11,5,6,0,1,1,4,2,1,0,60,44,2.324455703405363,True,DIAMOND
8,8,2,2,0,2,0,5,0,2,0,56,35,7.629814338040418,True,DIAMOND
9,3,10,0,2,0,2,1,3,0,1,18,40,-9.55441070286684,False,DIAMOND
10,4,6,0,0,0,1,1,3,2,0,23,39,-6.196458995637002,False,DIAMOND
11,6,11,0,3,1,2,5,2,1,0,31,35,-4.745484591530911,False,DIAMOND
12,1,11,0,3,0,1,0,3,0,2,11,20,-7.099767692729195,False,DIAMOND
13,9,2,1,0,1,0,2,1,2,0,30,12,10.509555172411865,True,DIAMOND
14,8,6,1,1,1,0,1,3,1,1,24,18,3.830668093290427,True,DIAMOND
15,9,9,1,2,0,2,0,4,1,1,18,47,-8.147223430192405,False,DIAMOND
16,1,4,0,1,0,0,0,0,0,0,43,68,-3.7618423629989195,False,DIAMOND
17,11,0,3,0,1,0,3,0,2,0,37,17,11.349290725386528,True,DIAMOND
18,1,11,0,3,0,1,0,3,1,1,22,39,-7.398027955554966,False,DIAMOND
19,9,2,2,0,0,1,2,1,2,0,40,28,5.89654219728218,True,DIAMOND
20,2,11,0,3,0,1,0,4,0,2,28,42,-7.808368228053297,False,DIAMOND
21,4,10,0,2,0,1,2,2,0,2,24,35,-3.2500783455685323,False,DIAMOND
22,6,7,1,1,0,2,1,3,2,0,29,43,-7.306871477446919,False,DIAMOND
23,9,3,1,0,0,0,3,1,1,1,51,30,4.899589916483592,True,DIAMOND
24,10,3,3,0,2,0,2,1,2,0,39,26,3.0370213990892836,True,DIAMOND
25,0,11,0,4,0,2,1,3,0,2,12,28,-6.749653791531806,False,DIAMOND
26,10,3,2,0,1,0,3,1,2,0,31,32,-0.9404810388169551,True,DIAMOND
27,9,3,1,0,0,1,1,2,2,0,32,21,5.449840041941826,True,DIAMOND
28,9,1,1,0,0,0,3,0,2,0,51,21,12.975099624531921,True,DIAMOND
29,1,6,0,0,0,1,2,1,0,1,19,34,-7.473076248352783,False,DIAMOND
30,5,9,0,2,0,2,2,3,1,0,38,54,-6.529797092645815,False,DIAMOND
31,11,2,4,0,0,1,4,1,1,1,43,38,0.2718642939560496,True,DIAMOND
32,1,10,0,3,0,1,0,4,1,1,16,37,-11.987592049553704,False,DIAMOND
33,6,10,0,2,0,2,1,2,1,0,36,47,-6.435564780997069,False,DIAMOND
34,3,10,0,2,1,0,2,2,0,2,25,33,-6.108780127081815,False,DIAMOND
