,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,10,0,1,0,2,3,2,2,0,40,37,0.8122942489222993,False,MASTER
1,2,10,0,2,0,1,0,4,1,0,17,29,-8.74361446369975,False,MASTER
2,11,3,2,0,1,0,3,1,1,1,34,24,2.256347181061777,True,MASTER
3,4,9,0,1,0,1,2,2,0,2,34,42,-3.3863899608347836,False,MASTER
4,4,2,2,0,0,0,0,0,0,0,44,38,1.268049389703556,True,MASTER
5,3,4,1,2,0,0,0,0,0,0,69,72,-2.2829767416072713,False,MASTER
6,1,10,0,2,0,1,2,2,0,1,12,37,-9.265977674096497,False,MASTER
7,2,4,2,2,0,0,0,0,0,0,61,78,-3.54670006253167,False,MASTER
8,4,4,2,2,0,0,0,0,0,0,53,69,-0.8302931444732096,False,MASTER
9,5,9,0,2,0,1,0,4,2,0,12,30,-8.79057473441106,False,MASTER
10,2,6,0,1,0,0,1,3,2,0,15,17,-2.5546526219224432,False,MASTER
11,9,4,2,0,1,0,3,0,2,0,25,11,10.479147965940086,True,MASTER
12,1,4,0,2,0,0,0,0,0,0,79,78,-0.21441141184766366,False,MASTER
13,10,2,2,0,1,0,2,1,2,0,43,26,5.133165724739506,True,MASTER
14,4,2,3,2,0,0,0,0,0,0,49,52,0.1971607231065704,True,MASTER
15,2,4,1,1,0,0,0,0,0,0,65,64,1.4029745541646008,False,MASTER
