,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,10,0,2,0,1,0,3,0,1,20,36,-7.362234871762389,False,IRON
1,6,11,1,4,0,2,1,3,0,2,39,30,-1.7864206373833724,False,IRON
2,1,8,0,2,1,0,0,3,0,2,9,39,-14.114501215865289,False,IRON
3,4,11,0,4,0,1,2,3,2,0,45,52,-2.5896933000099835,False,IRON
4,1,11,0,4,0,1,1,3,0,2,37,44,-0.6022639265982619,False,IRON
5,0,11,0,3,0,0,1,2,0,2,16,43,-11.087722036711853,False,IRON
6,5,6,0,2,2,0,4,1,1,1,42,41,2.095461743982497,False,IRON
7,6,10,0,2,0,1,1,3,0,2,39,32,-3.667515001432008,False,IRON
8,2,11,0,3,0,2,1,4,2,0,24,38,-4.432936700379365,False,IRON
9,4,6,0,0,0,0,2,1,0,2,38,23,8.745544467969815,True,IRON
10,11,5,3,0,1,0,3,2,0,1,53,42,8.073857769094317,True,IRON
11,7,2,2,0,0,0,4,1,0,1,65,33,8.941347108820935,True,IRON
12,2,9,0,1,0,1,0,5,1,0,18,44,-7.654834785285178,False,IRON
13,2,11,0,2,0,1,0,4,1,1,34,45,-9.96401407858108,False,IRON
14,4,9,0,2,0,1,1,4,0,2,29,46,-6.64604873023891,False,IRON
15,8,10,1,2,0,1,2,3,2,0,46,56,-4.408623773834314,True,IRON
16,2,9,0,2,0,0,0,3,0,2,11,36,-20.0472343277373,False,IRON
17,3,8,0,1,0,0,2,3,0,1,21,43,-7.0450868256442405,False,IRON
18,3,9,0,3,0,1,2,2,0,1,26,37,-4.8146559601383885,False,IRON
19,1,11,0,2,0,0,2,1,0,2,8,30,-19.89663710347017,False,IRON
20,2,8,0,1,0,1,0,4,0,1,16,34,-9.873743757905281,False,IRON
21,2,10,0,2,0,1,1,3,0,2,21,38,-7.162372362178779,False,IRON
22,10,6,2,1,1,0,5,1,0,1,51,50,4.749193736171996,True,IRON
23,5,1,1,0,0,0,2,1,0,1,29,12,13.439348375520034,True,IRON
24,9,6,1,0,1,0,3,1,0,1,56,37,12.508209850881485,True,IRON
25,9,4,1,0,1,0,1,4,0,1,36,44,-1.2018399392133645,True,IRON
26,2,11,0,3,0,1,0,4,1,0,22,43,-10.095192130561323,False,IRON
27,8,5,1,0,2,0,5,1,1,0,46,31,9.274065969835206,True,IRON
28,4,4,1,3,0,0,0,0,0,0,58,77,-1.0857688444205351,True,IRON
