,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,3,2,2,0,0,0,0,0,0,49,52,-1.264677832317254,True,BRONZE
1,2,4,2,1,0,0,0,0,0,0,62,63,-0.48424905922721706,False,BRONZE
2,3,4,1,2,0,0,0,0,0,0,68,65,0.622145864288072,False,BRONZE
3,1,4,0,2,0,0,0,0,0,0,57,82,-3.9463332687434516,False,BRONZE
4,10,2,2,0,0,0,3,1,1,1,32,9,14.666906433731057,True,BRONZE
5,2,10,0,2,0,1,0,4,0,2,15,32,-13.57301473665158,False,BRONZE
6,1,6,0,1,0,0,0,3,1,0,22,39,-11.5416352351574,False,BRONZE
7,11,1,2,0,0,0,2,1,1,1,48,18,13.001782112660102,True,BRONZE
8,11,9,3,3,1,0,3,3,2,0,49,46,-0.017219168829392117,True,BRONZE
9,1,11,0,4,0,1,0,4,0,2,24,46,-7.285034195275536,False,BRONZE
10,9,4,2,0,1,0,4,0,2,0,36,29,4.055666674481323,True,BRONZE
11,5,11,0,3,0,2,1,4,0,2,37,44,-1.7668729261503202,False,BRONZE
12,10,6,1,0,1,1,4,1,1,1,38,33,3.0539606459049295,True,BRONZE
13,8,7,1,0,1,0,2,2,1,1,25,22,-0.23238685976659923,True,BRONZE
14,6,11,0,4,0,1,2,3,0,2,25,42,-7.17003324686533,False,BRONZE
15,10,4,3,0,2,0,2,3,1,0,43,29,9.345828157695763,True,BRONZE
16,11,1,3,0,2,0,3,1,2,0,37,21,7.829682107856101,True,BRONZE
17,6,0,1,0,0,0,3,0,2,0,27,16,4.678186461260829,True,BRONZE
18,4,4,3,2,0,0,0,0,0,0,71,64,1.0549023350242663,False,BRONZE
