,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,7,0,1,0,2,1,5,2,0,52,49,2.692317449414894,False,PLATINUM
1,11,2,3,0,2,0,2,2,1,1,38,14,13.795925959035273,True,PLATINUM
2,8,10,1,5,3,2,5,3,1,1,63,49,0.7601584669345769,False,PLATINUM
3,11,6,2,0,2,0,0,4,0,1,43,22,9.172505837357882,True,PLATINUM
4,4,9,0,1,1,0,0,4,1,1,17,36,-5.939373034768835,False,PLATINUM
5,8,3,1,0,1,0,1,3,1,1,30,24,5.955579723530995,True,PLATINUM
6,10,3,3,0,3,0,4,2,1,0,52,32,3.7165310977792814,True,PLATINUM
7,1,9,0,2,0,1,0,3,1,1,13,23,-12.459492854133039,False,PLATINUM
8,2,10,0,3,0,1,1,4,1,0,20,40,-9.706198032544307,False,PLATINUM
9,8,5,3,0,1,0,4,1,0,1,47,26,7.572632401784212,True,PLATINUM
10,5,10,0,2,0,2,1,3,2,0,29,34,2.0152486690633538,False,PLATINUM
11,9,5,1,1,2,0,1,4,0,0,38,50,-3.892790516356655,True,PLATINUM
12,6,9,0,1,0,1,1,2,0,1,40,35,-0.8757232212977328,False,PLATINUM
13,9,5,2,1,1,1,3,2,1,1,38,14,13.413466645139593,True,PLATINUM
14,6,5,1,0,1,0,2,3,0,1,39,28,5.696956793254387,True,PLATINUM
15,10,2,2,0,1,0,4,1,2,0,54,31,6.873884571569093,True,PLATINUM
16,9,4,2,0,1,0,2,3,2,0,36,18,11.071729484696547,True,PLATINUM
17,4,1,2,0,0,0,0,0,0,0,58,66,-1.418641361972675,True,PLATINUM
18,2,4,2,1,0,0,0,0,0,0,72,79,-1.38743453641883,False,PLATINUM
19,2,9,0,1,0,1,1,3,1,1,15,28,-9.002119920892241,False,PLATINUM
20,9,10,1,2,2,0,5,2,0,1,69,29,10.997898067349261,True,PLATINUM
21,3,4,0,0,0,0,3,1,0,2,35,13,13.031014568168018,True,PLATINUM
22,11,9,3,2,1,2,2,5,1,1,52,51,0.5164091022461719,False,PLATINUM
23,10,3,2,0,1,0,2,3,1,0,43,29,4.107114664340962,True,PLATINUM
24,11,3,2,0,2,0,3,1,1,0,34,34,-5.092675815674106,True,PLATINUM
