,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,5,3,0,1,0,4,0,0,2,42,36,7.652490623483985,True,GOLD
1,3,11,0,2,1,1,0,4,1,0,37,47,1.9572402467662116,False,GOLD
2,6,3,0,0,1,0,4,1,2,0,40,19,9.098088109115935,True,GOLD
3,11,0,3,0,1,0,3,0,1,1,36,19,9.233635899910709,True,GOLD
4,5,10,0,2,0,3,0,5,0,2,41,51,-3.741790641589496,False,GOLD
5,4,5,0,0,0,1,0,3,0,2,12,37,-11.76515952215972,False,GOLD
6,11,3,3,0,2,0,1,3,0,1,48,33,4.458418141694267,True,GOLD
7,2,10,0,2,0,1,0,4,1,1,20,50,-9.104772596957694,False,GOLD
8,7,6,1,1,1,1,4,1,0,2,24,22,-1.9660663912490648,True,GOLD
9,11,1,3,0,1,0,3,0,2,0,20,10,8.532072242655516,True,GOLD
10,8,0,1,0,1,0,3,1,2,0,36,19,8.06295723479657,True,GOLD
11,3,9,0,1,0,2,1,4,1,1,49,48,2.7327584059202152,False,GOLD
12,9,6,1,0,2,0,1,3,0,1,35,43,-0.5448102496133131,True,GOLD
13,11,0,4,0,1,0,3,0,2,0,26,19,3.3449567712279205,True,GOLD
14,1,9,0,2,0,2,0,3,0,2,23,42,-7.808823071908826,False,GOLD
15,0,9,0,2,0,2,1,3,0,2,24,35,-3.6335772648295404,False,GOLD
16,1,4,0,2,0,0,0,0,0,0,49,74,-2.484295118418366,False,GOLD
17,2,4,0,1,0,0,0,0,0,0,49,56,-1.4060330620977908,False,GOLD
18,2,4,2,1,0,0,0,0,0,0,54,66,-3.812329673391183,False,GOLD
19,4,4,1,1,0,0,0,0,0,0,58,73,-1.1597555693223143,False,GOLD
20,7,2,1,0,0,0,2,0,1,0,30,15,10.368352180283892,True,GOLD
21,5,9,0,2,0,2,2,2,1,1,40,55,1.6100144222201607,False,GOLD
22,3,11,0,3,0,0,2,3,0,2,27,39,-2.4868186592526484,False,GOLD
23,4,2,0,0,1,0,2,1,0,2,21,16,5.988357952078999,True,GOLD
24,11,6,5,1,2,0,1,4,2,0,36,36,4.9870347358545075,True,GOLD
25,10,3,2,0,0,1,4,1,0,0,31,25,-1.1892004286464228,True,GOLD
26,3,8,0,1,0,1,0,4,0,1,23,25,-2.7861935177109203,False,GOLD
