,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,4,0,1,0,0,0,0,0,0,57,64,-2.7789045487263877,False,GOLD
1,2,4,3,2,0,0,0,0,0,0,57,65,-0.6231033713525989,False,GOLD
2,4,7,0,1,0,1,2,2,2,0,34,40,-5.964280522880458,False,GOLD
3,11,2,3,0,1,0,4,0,2,0,47,37,5.330972434366679,True,GOLD
4,11,5,3,0,1,2,4,2,1,1,42,24,6.886834663257481,True,GOLD
5,1,4,0,1,0,0,0,0,0,0,69,66,2.70461622023425,False,GOLD
6,2,11,0,5,1,2,1,6,1,0,54,41,4.424920903216346,False,GOLD
7,10,7,2,1,0,2,2,3,0,1,43,36,2.3793578282657393,True,GOLD
8,11,3,3,0,1,0,5,0,0,2,45,46,-2.9921551396875685,True,GOLD
9,3,11,0,3,1,0,1,2,2,0,22,41,-3.6713725561275297,False,GOLD
10,0,10,0,2,0,1,0,4,0,1,17,34,-8.776123784475892,False,GOLD
11,9,7,1,1,2,0,3,1,1,0,39,35,4.594276480151684,True,GOLD
12,11,5,6,1,2,0,3,2,1,0,67,42,5.377288445254848,True,GOLD
13,1,10,0,2,0,1,0,3,1,0,14,32,-8.949494957473682,False,GOLD
14,3,10,0,3,0,1,1,4,0,1,23,50,-11.925450775342028,False,GOLD
15,7,10,1,4,1,1,4,1,2,0,48,36,8.763663195692295,True,GOLD
16,4,2,3,1,0,0,0,0,0,0,92,88,1.4101593536582229,True,GOLD
17,3,3,3,2,0,0,0,0,0,0,83,79,-1.2628361192564341,True,GOLD
18,2,4,2,2,0,0,0,0,0,0,77,71,0.1695591584637839,False,GOLD
19,4,4,3,2,0,0,0,0,0,0,71,77,0.3149432681867239,False,GOLD
20,1,4,0,1,0,0,0,0,0,0,48,65,-2.2587804674262486,False,GOLD
21,5,11,1,3,0,1,1,3,1,1,29,42,-3.1244145866019792,False,GOLD
22,10,2,2,0,2,0,3,1,1,1,42,23,5.492866609324132,True,GOLD
23,11,0,3,0,1,0,2,2,1,1,43,22,8.64682937845592,True,GOLD
