,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,7,0,2,0,2,1,3,1,0,36,24,-0.06114079043241816,False,IRON
1,7,3,2,0,0,0,1,3,2,0,43,21,13.778022982147604,True,IRON
2,9,8,0,1,1,1,1,6,0,2,48,47,0.9363716649906237,False,IRON
3,2,11,0,3,0,1,1,3,1,1,13,32,-14.910286723228474,False,IRON
4,11,8,5,3,2,0,3,3,1,1,56,48,6.448839634533471,True,IRON
5,2,11,0,4,0,0,3,2,0,1,35,34,-0.2536462191148203,False,IRON
6,10,2,2,0,1,0,3,1,2,0,44,20,11.073192914460527,True,IRON
7,9,4,3,0,0,0,3,1,0,2,34,13,7.249631495883349,True,IRON
8,4,11,0,3,0,0,1,4,0,1,20,21,-3.65765621011807,False,IRON
9,11,6,4,1,1,0,2,3,0,2,50,28,7.3558684258606775,True,IRON
10,11,9,6,2,1,1,4,3,0,2,66,61,0.5679302324608884,True,IRON
11,4,10,0,2,0,0,2,2,1,1,16,42,-12.86276176187522,False,IRON
12,11,1,3,0,1,0,3,1,0,1,64,40,7.424214653389527,True,IRON
13,6,8,0,1,0,1,1,3,0,2,40,37,3.981951694650725,False,IRON
14,7,5,1,0,0,1,3,1,0,1,35,25,8.086903847299723,True,IRON
15,9,4,2,0,1,0,1,3,1,1,40,26,2.3313969736745648,True,IRON
16,7,5,1,0,1,0,2,3,0,2,39,42,-2.288272179970562,True,IRON
17,3,11,0,3,0,0,0,3,1,0,41,53,-2.8819533326949625,False,IRON
18,4,10,0,2,0,0,2,3,0,1,36,35,0.8120042698817969,False,IRON
19,1,10,0,2,0,0,0,4,0,2,14,38,-15.226206398666612,False,IRON
20,2,7,0,0,0,1,1,4,0,2,20,33,-11.615588802321405,False,IRON
21,8,6,1,0,1,0,4,0,0,2,39,37,3.8869387993350983,True,IRON
22,7,9,1,1,0,1,1,4,1,1,41,66,-4.63412165188938,False,IRON
23,6,11,1,4,0,1,2,4,1,0,32,38,-1.4922265286640766,False,IRON
24,1,11,0,2,0,0,1,1,0,1,26,46,-10.014006720122854,False,IRON
25,10,0,2,0,1,0,2,0,0,0,25,9,12.256784751950242,True,IRON
26,11,3,3,0,2,0,3,1,0,1,51,30,4.2890498875104015,True,IRON
27,7,11,1,3,1,1,2,3,0,0,50,49,0.7825174585854313,False,IRON
28,5,9,1,2,0,1,2,1,0,1,26,34,-10.816751170307835,False,IRON
29,11,4,3,0,0,0,3,1,0,2,46,27,8.314038399548387,True,IRON
30,2,11,0,4,0,1,0,4,0,1,26,50,-12.529565377058049,False,IRON
31,5,8,0,1,0,1,2,2,0,1,50,44,1.4938903825457288,False,IRON
