,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,3,1,0,1,0,4,0,0,1,32,13,11.460546035476671,True,IRON
1,11,1,4,0,0,0,4,0,2,0,57,31,12.788764273568066,True,IRON
2,11,6,5,1,1,0,5,1,2,0,52,40,8.527861222977592,True,IRON
3,8,2,2,0,0,0,3,0,2,0,39,21,4.231670944841007,True,IRON
4,6,9,0,1,0,1,2,3,0,2,28,37,-2.8767553788573963,False,IRON
5,3,11,0,3,0,1,2,2,0,1,21,46,-8.968407341326987,False,IRON
6,11,3,3,0,0,0,3,1,2,0,31,25,1.6869146078469797,True,IRON
7,5,9,0,1,0,1,1,3,1,1,31,38,-9.541605407286067,False,IRON
8,9,6,2,0,2,1,4,2,1,0,59,46,6.0000869549939395,True,IRON
9,2,11,0,3,0,0,0,4,1,1,16,41,-15.792761815133108,False,IRON
10,10,7,5,1,0,1,5,1,1,1,58,53,0.805222178189247,False,IRON
11,5,2,1,0,1,0,4,0,0,2,33,10,12.215441761744302,True,IRON
12,1,10,0,2,0,1,2,2,1,1,19,30,-7.304499535565711,False,IRON
13,11,4,2,0,0,0,4,0,0,2,37,36,-1.4274414724913882,True,IRON
14,1,11,0,3,0,0,1,2,0,0,24,36,-7.835623470711781,False,IRON
15,4,8,0,2,0,1,1,3,1,0,27,49,-4.272949392704604,False,IRON
16,11,0,3,0,0,0,3,0,2,0,43,17,14.725636190622225,True,IRON
17,10,0,2,0,0,0,4,0,0,1,39,27,8.808120523632681,True,IRON
18,3,10,0,3,0,2,0,4,0,2,29,44,-7.485668541671963,False,IRON
19,7,5,1,0,0,1,3,1,0,1,44,36,5.462363876162861,True,IRON
20,5,7,0,1,0,2,2,3,2,0,34,48,-10.350639110542382,False,IRON
21,7,3,1,0,1,0,3,0,0,0,31,17,9.963663314254113,True,IRON
22,4,11,0,3,0,0,1,2,1,0,20,20,-3.1490495835656844,False,IRON
23,11,7,3,1,0,1,4,3,0,1,63,36,0.2162142849954023,True,IRON
24,2,11,0,3,0,2,1,4,0,2,31,33,-0.7702962549652526,False,IRON
25,3,4,0,0,0,0,1,2,1,0,25,30,-1.9778284725160944,False,IRON
26,10,2,2,0,1,0,2,2,0,2,45,24,10.761388398095704,True,IRON
27,8,9,2,1,1,1,3,2,1,1,42,29,8.139008921786164,True,IRON
28,5,11,0,4,0,2,1,5,0,1,29,45,-1.3094437533727117,False,IRON
29,2,9,0,2,0,0,1,3,0,2,5,28,-14.625019290888261,False,IRON
30,11,10,4,5,2,1,5,3,0,2,71,67,-0.8262509040331096,True,IRON
31,8,5,1,0,0,0,5,0,1,0,42,29,8.518008100740104,True,IRON
32,10,6,2,1,0,0,2,3,0,1,46,41,0.8815980090511033,True,IRON
33,4,10,0,2,0,1,1,3,2,0,8,34,-14.596990310372888,False,IRON
34,4,11,0,3,1,0,0,4,0,1,29,31,2.373471673662607,False,IRON
35,1,11,0,4,0,1,0,3,0,1,15,30,-7.085159087512949,False,IRON
36,11,4,4,2,0,0,1,3,0,1,49,38,3.9544187650246414,True,IRON
37,9,4,2,0,1,1,2,3,1,0,40,42,1.8968752657939234,True,IRON
