,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,8,0,1,0,0,0,3,1,1,19,31,-12.32592026754908,False,BRONZE
1,7,5,2,0,1,1,5,0,0,0,36,30,5.225386378356255,True,BRONZE
2,9,10,1,2,3,0,5,0,0,1,53,34,9.052449305828446,True,BRONZE
3,4,10,0,1,0,1,4,1,2,0,52,55,-2.7168010641800038,False,BRONZE
4,4,4,0,0,0,0,2,1,2,0,31,25,2.5555174203910482,True,BRONZE
5,2,10,0,3,0,1,1,4,2,0,29,48,-8.967239175698829,False,BRONZE
6,5,1,0,0,0,0,4,0,1,1,28,18,8.183851477311713,True,BRONZE
7,2,11,0,4,0,2,1,4,2,0,38,43,-4.166063781145965,False,BRONZE
8,9,5,1,0,1,0,3,2,1,0,55,31,8.701418861884498,True,BRONZE
9,1,8,0,1,0,0,2,2,1,1,23,28,-3.6232351501758586,False,BRONZE
10,4,9,0,3,2,0,2,2,1,0,34,47,-2.551226568074604,False,BRONZE
11,10,3,3,0,1,0,4,0,2,0,44,19,13.0098585307667,True,BRONZE
12,3,10,0,2,0,2,2,2,0,1,27,39,-0.8378541403585658,False,BRONZE
13,5,10,0,2,0,1,3,2,0,2,33,17,7.730625035924746,False,BRONZE
14,3,11,0,3,1,0,1,3,0,2,34,46,-5.454681924562706,False,BRONZE
15,6,5,0,0,1,0,4,1,2,0,29,22,8.863602247275274,True,BRONZE
16,11,5,2,0,2,0,5,1,1,1,59,30,5.668634817334613,True,BRONZE
17,10,2,3,0,1,0,5,0,0,1,56,30,7.324222279558327,True,BRONZE
18,6,11,1,4,1,1,3,3,0,2,50,49,2.9508971040738174,False,BRONZE
19,1,8,0,2,0,0,0,4,1,1,29,40,-3.8625271576483016,False,BRONZE
20,1,4,0,1,0,0,0,0,0,0,68,72,0.1982519146637287,False,BRONZE
21,5,10,0,3,1,1,3,2,1,1,39,38,-0.3724655273305473,False,BRONZE
22,6,11,1,3,1,1,3,4,0,0,39,50,-1.3409740849601306,False,BRONZE
23,7,7,1,1,1,0,3,1,0,2,49,32,5.536715841511189,True,BRONZE
24,0,9,0,2,0,1,1,3,0,1,21,43,-11.86037144723523,False,BRONZE
25,6,10,0,3,1,0,2,3,1,1,37,53,-5.569520389397098,False,BRONZE
26,2,11,0,4,0,2,2,3,0,1,53,75,-3.06477006916284,False,BRONZE
27,4,11,0,4,0,1,1,3,1,1,20,34,-7.7961666507046345,False,BRONZE
28,1,9,0,1,0,1,0,3,0,1,21,40,-9.454687138738265,False,BRONZE
29,0,11,0,3,0,1,1,2,0,1,20,44,-9.154582921025991,False,BRONZE
30,4,11,0,3,0,0,4,1,1,1,45,44,2.3587953934365444,False,BRONZE
31,5,9,0,3,0,2,2,3,1,0,31,59,-11.775626737572786,False,BRONZE
32,11,2,3,0,1,0,2,2,2,0,46,13,14.768141534767373,True,BRONZE
