,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,4,1,0,1,0,3,2,1,1,47,32,7.929993722781582,True,SILVER
1,9,6,2,0,1,1,4,2,1,0,36,36,-1.4222920616147192,True,SILVER
2,4,8,0,1,0,2,1,3,1,0,36,52,-9.444288141802005,False,SILVER
3,2,9,0,2,0,1,0,3,1,0,18,38,-13.286520535594939,False,SILVER
4,8,4,2,0,0,0,2,1,0,1,47,22,7.862579217386418,True,SILVER
5,10,4,3,0,1,1,5,1,2,0,41,53,-5.267834526194946,True,SILVER
6,9,6,1,1,0,0,2,2,0,2,31,28,3.9066446151879433,True,SILVER
7,5,11,0,3,0,2,2,3,1,1,26,37,-7.762461020504503,False,SILVER
8,9,3,1,0,1,0,2,1,1,1,40,23,10.367814503027695,True,SILVER
9,3,11,0,3,0,1,1,3,1,1,32,34,0.7928664012668492,False,SILVER
10,8,6,2,0,1,1,2,3,2,0,45,38,0.21352822217130552,True,SILVER
11,5,11,2,3,0,2,2,3,2,0,19,44,-9.925942557140992,False,SILVER
12,3,10,0,2,0,2,1,3,1,1,24,50,-11.58136156813947,False,SILVER
13,7,6,1,0,0,2,2,3,0,2,46,41,4.059594114656775,True,SILVER
14,10,8,2,1,0,2,1,4,1,1,46,54,-5.673931963045156,False,SILVER
15,9,5,2,0,1,0,2,2,1,1,48,37,4.494077331180911,True,SILVER
16,7,5,1,0,1,0,3,1,0,1,41,39,1.8827642743240744,True,SILVER
17,2,10,0,2,0,1,0,3,0,2,16,36,-10.835865703254967,False,SILVER
18,4,11,0,3,0,1,4,0,1,0,14,31,-11.040041428276844,False,SILVER
19,11,3,3,0,0,0,4,0,0,1,40,25,7.835445921856184,True,SILVER
20,8,4,2,0,0,0,2,1,0,1,42,22,10.818363493300872,True,SILVER
21,4,2,0,0,1,0,4,0,0,0,30,12,12.407354574672986,True,SILVER
22,4,1,3,0,0,0,0,0,0,0,71,57,1.6616896467702347,True,SILVER
23,3,8,0,1,0,2,1,3,1,1,22,43,-11.179884058860878,False,SILVER
24,6,7,0,1,0,1,2,1,2,0,12,27,-7.922644529090391,False,SILVER
25,2,4,0,0,0,0,0,3,0,1,9,23,-13.63008861146077,False,SILVER
26,9,7,1,1,0,2,2,3,0,0,20,29,-3.4205305524426777,True,SILVER
27,11,6,4,0,2,0,0,4,0,0,28,32,-5.206072898290351,True,SILVER
28,10,8,2,1,1,1,3,2,1,0,42,37,-0.6305819491965536,True,SILVER
29,4,2,2,1,0,0,0,0,0,0,68,80,-3.171797592415764,True,SILVER
30,5,8,0,1,0,2,2,3,1,1,34,42,-4.466742188704146,False,SILVER
31,0,11,0,4,0,2,0,3,0,2,14,29,-8.98453244995035,False,SILVER
32,6,1,0,0,1,0,3,0,1,0,29,17,5.15579038554128,True,SILVER
33,9,8,2,2,2,1,2,4,2,0,55,37,5.789191790567926,True,SILVER
