,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,10,0,2,0,1,0,4,1,0,15,44,-12.456920381237921,False,SILVER
1,8,5,1,0,0,1,2,1,1,1,38,19,7.927278919290359,True,SILVER
2,1,9,0,2,0,1,0,3,0,2,9,34,-13.241572935220432,False,SILVER
3,3,11,0,5,0,2,2,3,0,2,35,39,-5.304688818067056,False,SILVER
4,0,10,0,1,0,1,0,3,0,1,12,40,-16.80028679414024,False,SILVER
5,6,9,1,3,2,1,3,2,1,0,45,47,5.177743657626344,False,SILVER
6,1,7,0,2,1,0,0,4,1,0,33,37,1.5262274086955117,False,SILVER
7,2,10,0,3,1,1,1,4,0,2,22,50,-7.6895554145856835,False,SILVER
8,5,8,1,2,0,1,2,3,0,1,35,58,-7.539687479884009,False,SILVER
9,9,8,1,1,0,0,0,3,1,0,26,44,-6.0133086270185245,False,SILVER
10,4,7,0,1,0,0,0,2,1,0,33,36,-5.169842962440839,False,SILVER
11,2,11,0,3,0,2,0,4,2,0,29,51,-8.943689303378655,False,SILVER
12,0,10,0,2,0,0,1,1,0,1,12,35,-10.784151838761176,False,SILVER
13,1,8,0,1,0,1,0,2,0,1,22,34,-10.325996359556395,False,SILVER
14,10,2,2,0,0,0,1,1,1,0,44,23,11.558055130971454,True,SILVER
15,7,8,0,1,0,1,0,4,1,0,23,40,-3.281357301895511,False,SILVER
16,9,8,2,1,2,0,3,3,0,1,63,49,4.151791069923675,True,SILVER
17,1,8,0,1,0,0,0,3,0,2,16,36,-13.07378558550544,False,SILVER
18,2,4,0,0,0,1,0,5,1,1,12,35,-11.789996556377172,False,SILVER
19,9,5,1,0,1,0,2,2,1,1,51,40,5.379954863168358,True,SILVER
20,8,3,1,0,1,0,0,3,1,0,40,27,0.9798651813201005,True,SILVER
21,10,2,2,0,1,0,3,0,1,0,53,29,14.766035527751846,True,SILVER
22,3,4,0,0,0,0,0,2,0,1,19,16,3.8429255100158457,True,SILVER
23,1,6,0,1,0,1,1,2,1,1,30,41,-5.736623822050085,False,SILVER
24,7,6,1,1,1,1,4,2,0,1,40,14,14.52935021402812,True,SILVER
25,11,6,4,2,2,0,2,2,1,0,59,49,3.8807840615307114,True,SILVER
