,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,11,0,1,0,1,1,3,1,1,36,58,-8.298627311188866,False,IRON
1,1,11,0,2,0,0,0,4,0,2,9,36,-14.412679634359147,False,IRON
2,8,2,1,0,0,1,3,0,1,1,32,17,5.602884091254964,True,IRON
3,3,11,0,3,0,1,1,3,0,2,28,43,-6.984500907137452,False,IRON
4,11,3,5,0,2,0,2,3,1,1,56,37,8.74137024046098,True,IRON
5,10,2,3,0,1,0,4,0,1,0,66,39,6.3935756206880825,True,IRON
6,6,3,0,0,1,0,3,0,1,0,29,18,2.2342604450502677,True,IRON
7,11,4,4,0,1,0,4,0,0,2,45,14,13.685036682202515,True,IRON
8,5,4,1,0,0,0,2,2,0,1,32,12,12.42299239517282,True,IRON
9,1,11,0,3,0,0,0,4,0,2,23,37,-9.282283564318696,False,IRON
10,8,11,1,4,1,0,1,5,0,1,58,46,3.344693190733018,False,IRON
11,5,11,0,4,0,0,1,3,1,0,38,50,-3.3106192640858865,False,IRON
12,8,4,2,0,1,0,2,3,1,1,47,34,6.3362411651521455,True,IRON
13,11,4,4,0,2,0,4,1,1,1,51,39,3.4951528175835733,True,IRON
14,11,2,3,0,1,0,3,1,0,2,40,12,14.162383243555695,True,IRON
15,2,11,0,4,0,0,2,2,0,2,41,51,1.8583241603929892,False,IRON
16,3,11,0,6,1,1,3,3,1,0,25,26,0.6763833196914177,False,IRON
17,1,11,0,2,0,1,0,3,0,1,27,34,-3.844267031531011,False,IRON
18,7,9,1,1,1,0,1,4,0,2,41,38,-0.20991323248289717,True,IRON
19,10,4,2,0,1,0,3,1,0,1,50,26,8.15309736215265,True,IRON
20,4,11,0,4,0,2,2,4,0,2,30,64,-6.960873415800826,False,IRON
21,1,7,0,1,0,1,1,2,0,2,20,37,-7.205961000986051,False,IRON
22,11,7,2,0,0,1,4,0,1,0,55,34,3.866469574406622,True,IRON
23,11,0,5,0,1,0,4,0,1,1,36,17,9.125831271143142,True,IRON
24,2,10,0,3,0,1,0,4,0,1,30,25,2.0695791349588575,False,IRON
25,1,11,0,3,0,0,0,3,0,2,9,37,-19.17789913373756,False,IRON
26,1,11,0,3,0,0,0,3,0,0,19,50,-13.983029025804377,False,IRON
27,8,0,2,0,0,0,3,0,1,1,36,15,13.01462250931807,True,IRON
28,10,5,2,0,1,0,4,0,2,0,46,23,7.8957188054186815,True,IRON
29,7,2,1,0,1,0,3,1,1,0,37,20,11.559570028030052,True,IRON
30,5,11,0,2,0,0,0,4,1,0,32,37,5.496460161563306,False,IRON
31,10,4,2,0,1,0,4,1,2,0,52,37,6.609144873988441,True,IRON
32,1,7,0,0,0,0,2,3,0,1,16,35,-11.504142555678591,False,IRON
33,0,10,0,3,0,1,0,4,1,1,41,53,-6.244712674055435,False,IRON
34,4,9,0,2,0,0,0,4,0,1,15,33,-10.612758014947794,False,IRON
35,5,11,0,4,0,1,1,3,0,2,27,36,-0.6901454586863878,False,IRON
36,0,11,0,3,0,0,0,3,0,2,17,40,-15.349102864456405,False,IRON
37,9,10,3,3,0,3,3,4,1,1,51,50,-3.7275391474653006,False,IRON
38,5,1,1,0,0,0,2,1,0,1,39,14,11.66168565386618,True,IRON
