,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,4,0,2,0,0,0,0,0,0,56,62,-0.6315400787221321,False,SILVER
1,4,2,2,2,0,0,0,0,0,0,81,79,2.4605809660890756,True,SILVER
2,2,4,3,2,0,0,0,0,0,0,79,74,-0.6512078522677314,False,SILVER
3,4,11,0,6,0,1,3,2,1,1,39,38,5.142287786764143,False,SILVER
4,4,4,2,4,0,0,0,0,0,0,94,82,2.5305384432241027,False,SILVER
5,9,4,2,0,1,0,3,0,1,0,34,36,-2.7151218725473996,True,SILVER
6,11,4,4,0,2,0,3,3,1,1,42,29,4.12143265092994,True,SILVER
7,10,4,2,0,1,0,2,2,1,0,30,17,8.756420254149475,True,SILVER
8,3,10,0,2,0,0,1,3,2,0,16,19,0.0727621636907756,False,SILVER
9,11,4,4,0,2,0,4,1,0,2,47,23,6.339009559619129,True,SILVER
10,11,0,3,0,1,0,3,1,2,0,31,15,9.492438501855574,True,SILVER
11,4,4,2,1,0,0,0,0,0,0,67,71,-3.456483661564235,True,SILVER
12,4,1,2,0,0,0,0,0,0,0,61,42,5.935374721127793,True,SILVER
13,4,11,0,3,0,2,3,2,0,2,30,25,-0.70486396274935,False,SILVER
14,10,2,2,0,0,0,4,0,1,1,54,25,12.104571030975464,True,SILVER
15,3,11,0,4,0,2,3,2,0,2,30,25,5.418490923949371,False,SILVER
16,10,10,6,3,3,0,5,2,0,2,52,36,5.308202637232441,True,SILVER
17,11,1,3,0,1,0,1,3,2,0,29,27,4.2786612268524635,True,SILVER
18,3,10,0,2,0,1,0,3,1,0,19,37,-8.946136732994454,False,SILVER
19,10,4,2,0,0,0,4,1,0,1,55,27,7.973938420933926,True,SILVER
20,11,6,3,1,1,0,2,1,0,0,32,21,8.499368784760122,True,SILVER
21,5,8,0,1,3,0,4,3,1,1,32,42,-5.737497846473616,False,SILVER
22,3,8,0,1,0,1,0,3,1,0,23,45,-11.769924397399524,False,SILVER
23,2,4,0,1,0,0,0,0,0,0,55,55,-1.0324209452142128,False,SILVER
24,4,2,2,1,0,0,0,0,0,0,74,65,2.232704006328035,True,SILVER
