,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,2,1,1,0,0,0,0,0,0,60,83,-2.436231028610237,True,GRANDMASTER
1,10,1,2,0,0,0,3,1,1,1,44,32,5.9334703437138785,True,GRANDMASTER
2,10,5,3,0,1,1,4,1,2,0,54,46,4.223577461450432,True,GRANDMASTER
3,11,3,3,0,0,0,3,1,1,0,41,24,11.26341033717403,True,GRANDMASTER
4,7,1,1,0,0,0,3,0,2,0,34,22,3.4897880767352873,True,GRANDMASTER
5,11,3,3,0,0,0,2,1,2,0,42,29,5.250528417760613,True,GRANDMASTER
6,10,6,3,1,0,2,1,4,1,0,37,45,-5.513455107408028,False,GRANDMASTER
7,4,11,0,1,1,0,0,3,1,1,27,48,-1.268038023266179,False,GRANDMASTER
8,11,9,6,2,2,1,3,4,2,0,57,85,-12.162171996217133,False,GRANDMASTER
9,7,1,1,0,1,0,2,0,2,0,25,16,6.293985080847378,True,GRANDMASTER
10,8,5,2,0,2,0,4,0,1,1,42,31,6.528498078895453,True,GRANDMASTER
11,8,1,1,0,1,0,1,2,2,0,42,26,6.204966894102576,True,GRANDMASTER
12,7,6,1,0,1,1,4,0,1,0,48,67,-3.2955411347206294,True,GRANDMASTER
13,0,9,0,2,0,0,0,3,0,2,27,43,-7.108326376350057,False,GRANDMASTER
14,11,4,3,0,2,0,4,1,1,1,31,18,4.640053396046163,True,GRANDMASTER
15,6,2,0,0,1,0,4,0,1,1,31,13,11.609397279093123,True,GRANDMASTER
16,11,2,3,0,1,1,5,1,2,0,32,32,-1.6699832553873577,True,GRANDMASTER
17,3,4,1,3,0,0,0,0,0,0,89,86,0.17112791853769949,False,GRANDMASTER
18,4,3,2,3,0,0,0,0,0,0,70,67,-0.7179182853072703,True,GRANDMASTER
19,7,11,1,3,1,0,1,4,1,1,35,45,-4.4625340593627385,False,GRANDMASTER
20,11,2,4,0,2,0,4,0,1,1,37,38,-0.10934229873870294,True,GRANDMASTER
21,10,11,4,3,2,1,1,4,0,1,34,50,-6.553818675638979,False,GRANDMASTER
22,10,3,4,0,1,0,3,1,1,1,49,30,10.239806044804425,True,GRANDMASTER
23,3,9,0,1,0,1,0,3,1,1,40,53,-5.063066442059615,False,GRANDMASTER
24,9,9,2,5,0,3,4,1,1,1,56,54,-3.669544109279073,True,GRANDMASTER
25,11,1,2,0,1,0,0,2,1,0,41,27,7.0277563845683275,True,GRANDMASTER
26,4,11,0,4,1,0,1,3,1,0,32,42,-4.52182810952111,False,GRANDMASTER
27,2,8,0,2,0,1,0,3,1,1,31,31,3.552833590997224,False,GRANDMASTER
28,9,3,2,0,2,0,1,3,2,0,42,34,-4.100412915509722,True,GRANDMASTER
29,3,10,0,2,0,2,2,3,0,2,18,35,-8.341770132102695,False,GRANDMASTER
30,11,1,2,0,1,0,4,0,1,1,40,26,9.641845848004934,True,GRANDMASTER
31,2,10,0,1,0,1,0,3,0,2,14,32,-8.335373060567647,False,GRANDMASTER
32,9,0,2,0,1,0,3,0,2,0,29,21,3.9441036001383907,True,GRANDMASTER
33,4,11,0,5,2,1,1,5,0,2,28,38,-3.417507680104748,False,GRANDMASTER
34,3,10,0,2,0,1,1,3,0,2,18,34,-6.319091050831432,False,GRANDMASTER
35,5,9,0,1,1,0,1,3,2,0,27,28,0.1597204654972728,False,GRANDMASTER
36,11,1,2,0,1,0,2,2,2,0,32,21,6.884578957781152,True,GRANDMASTER
