,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,0,1,0,0,0,4,0,1,0,48,19,12.482242290137819,True,GOLD
1,4,4,0,0,0,1,1,2,1,0,20,40,-5.99022378586011,False,GOLD
2,3,5,0,1,0,1,0,3,1,1,20,36,-8.085112680730624,False,GOLD
3,4,10,0,2,0,1,1,3,1,0,33,45,-7.572199713756312,False,GOLD
4,7,9,0,1,0,1,0,4,0,0,35,46,-5.489703518179667,False,GOLD
5,2,11,0,3,0,1,0,3,1,1,12,32,-14.633510887169749,False,GOLD
6,8,3,2,0,1,0,3,0,1,0,29,15,6.027588379921603,True,GOLD
7,11,4,3,1,0,1,4,0,0,1,41,26,8.448961102420917,True,GOLD
8,10,3,2,0,1,0,3,1,1,1,21,8,9.7146372363936,True,GOLD
9,5,9,0,2,0,1,1,3,1,1,26,50,-7.064791939911139,False,GOLD
10,3,11,0,2,0,2,0,4,1,1,21,31,-6.892229354098639,False,GOLD
11,1,11,0,4,0,1,2,2,1,1,20,27,-0.17239216560845705,False,GOLD
12,10,2,2,0,1,0,4,0,2,0,41,36,-1.281831436087387,True,GOLD
13,8,6,2,1,1,1,4,3,0,2,38,41,-0.7723489228357465,True,GOLD
14,3,10,0,2,0,1,1,3,2,0,32,43,-7.051975024701875,False,GOLD
15,1,11,0,3,0,1,1,2,0,2,17,42,-9.889749290741072,False,GOLD
16,10,0,2,0,1,0,2,1,1,0,40,20,11.76078237317141,True,GOLD
17,3,11,0,1,0,1,0,4,2,0,51,56,-3.950087982098019,False,GOLD
18,10,4,3,0,0,1,0,3,1,1,50,39,2.21555532690374,True,GOLD
19,2,5,0,0,0,0,1,2,2,0,20,34,-6.654928064921414,False,GOLD
20,7,9,1,2,2,0,2,4,0,2,53,58,-0.08617942142985413,False,GOLD
21,4,8,0,1,1,1,2,2,2,0,39,33,2.6322843489349737,False,GOLD
22,10,2,1,0,0,1,2,2,2,0,46,29,8.987673187404127,True,GOLD
23,2,9,0,2,1,0,0,4,0,1,14,35,-7.682705417442122,False,GOLD
24,4,10,0,1,0,2,2,3,0,2,32,41,-1.5068456851952874,False,GOLD
25,7,9,2,1,2,1,0,6,1,0,44,47,-3.6132349831865866,False,GOLD
26,7,4,2,0,0,1,3,1,1,1,40,31,4.350141941956515,True,GOLD
27,4,11,0,2,0,1,2,2,1,0,32,40,-5.313838208371656,False,GOLD
28,3,9,0,2,0,1,0,4,1,0,24,36,-6.519045421415285,False,GOLD
29,9,2,3,0,0,1,2,2,1,0,39,43,-2.289707665799945,True,GOLD
30,9,2,3,0,2,0,4,0,2,0,41,30,3.099996013936021,True,GOLD
31,3,11,0,4,0,2,0,4,0,2,35,38,0.27943635813647205,False,GOLD
32,6,8,0,1,1,1,1,4,1,1,38,55,-5.484839943335338,False,GOLD
33,11,2,4,0,0,1,4,0,1,1,31,21,4.641887839945717,True,GOLD
34,3,9,0,1,0,1,2,2,0,2,18,29,-3.0951394282727307,False,GOLD
35,3,7,0,1,0,1,1,2,1,1,31,36,-1.260160479502403,False,GOLD
