,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,9,0,1,0,1,0,4,1,0,20,36,-8.401590912261753,False,SILVER
1,10,8,2,1,1,0,1,3,0,0,34,35,-3.382567014587515,True,SILVER
2,9,2,2,0,1,0,4,0,2,0,29,17,12.714029291118912,True,SILVER
3,11,2,5,0,1,1,3,3,2,0,57,30,7.926302754112797,True,SILVER
4,6,11,0,4,2,0,3,3,1,0,40,45,-0.5042789996523993,False,SILVER
5,0,11,0,3,0,0,1,2,0,1,20,43,-10.361340731701219,False,SILVER
6,1,9,0,1,1,0,1,2,1,0,20,40,-10.39070480937216,False,SILVER
7,11,0,3,0,0,0,3,0,2,0,35,11,11.819035952653348,True,SILVER
8,10,5,5,0,2,0,3,2,1,0,48,47,-1.7548812811123113,True,SILVER
9,3,10,0,2,0,2,1,4,1,1,38,48,-4.757702402463913,False,SILVER
10,6,2,0,0,1,0,3,1,0,0,34,19,6.510168109408234,True,SILVER
11,7,4,1,0,0,0,1,2,1,1,30,21,4.291784990887663,True,SILVER
12,3,9,0,0,0,1,1,3,0,2,25,43,-8.236863697004523,False,SILVER
13,0,11,0,2,0,1,0,4,0,2,11,27,-6.9730249880609065,False,SILVER
14,7,11,2,3,1,2,5,2,0,1,66,51,4.339569828193383,False,SILVER
15,10,1,2,0,0,0,2,1,1,0,36,22,12.328928836158479,True,SILVER
16,4,9,0,3,1,1,2,3,0,1,39,47,-4.209343380051159,False,SILVER
17,8,0,1,0,0,0,1,1,0,0,29,15,14.600000184878112,True,SILVER
18,11,1,3,0,1,0,4,0,1,0,34,19,6.8094363337641255,True,SILVER
19,3,7,0,1,0,0,0,4,0,2,15,32,-12.006110300908034,False,SILVER
20,0,11,0,3,0,1,1,3,0,2,19,43,-13.698827850416297,False,SILVER
21,4,0,0,0,0,0,2,1,2,0,24,11,11.548411662422922,True,SILVER
22,2,7,0,1,0,1,1,3,1,1,13,45,-12.065784020611709,False,SILVER
23,9,3,1,0,1,0,2,2,1,1,42,25,12.514629673965516,True,SILVER
24,1,10,0,1,0,0,1,3,0,2,20,35,-7.750874284465944,False,SILVER
25,1,9,0,1,0,0,0,4,1,0,19,37,-7.5819869755524465,False,SILVER
26,10,1,2,0,2,0,3,2,0,1,39,18,11.974954501264985,True,SILVER
27,3,11,0,3,0,0,0,3,0,1,21,42,-11.104925277126693,False,SILVER
28,1,10,0,2,0,0,0,4,0,1,20,35,-7.632608658843196,False,SILVER
29,8,4,1,0,1,0,2,1,1,0,35,25,9.6216772960139,True,SILVER
