,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,9,0,1,0,2,2,2,2,0,26,33,-0.2553001009727538,False,SILVER
1,8,3,1,0,1,0,2,2,0,1,42,21,10.464745222197081,True,SILVER
2,11,4,3,0,1,0,3,1,1,0,33,22,2.8771631278357646,True,SILVER
3,11,7,3,1,1,0,5,0,2,0,39,32,-2.0295516469425934,False,SILVER
4,4,2,2,1,0,0,0,0,0,0,100,95,-0.07430637566032772,True,SILVER
5,4,1,2,0,0,0,0,0,0,0,52,65,-1.4175376417625571,True,SILVER
6,2,4,1,2,0,0,0,0,0,0,73,68,1.781163629563693,False,SILVER
7,10,5,2,0,2,0,4,3,1,1,52,48,4.3652947617289755,True,SILVER
8,3,4,1,2,0,0,0,0,0,0,67,69,-0.4303246139432133,False,SILVER
9,3,11,0,3,0,1,3,2,0,1,34,35,-4.736279670736124,False,SILVER
10,4,2,2,1,0,0,0,0,0,0,67,78,-0.6785858968741181,True,SILVER
11,2,4,2,1,0,0,0,0,0,0,51,78,-5.225168023009552,False,SILVER
12,0,4,0,0,0,0,0,2,0,1,15,23,-7.946048475475116,False,SILVER
13,5,7,0,1,0,1,1,3,2,0,20,30,-6.819912524120902,False,SILVER
14,0,4,0,2,0,0,0,0,0,0,68,64,2.966898340698883,False,SILVER
