,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,3,0,0,1,0,0,4,2,0,34,26,3.595087334481171,True,PLATINUM
1,8,6,2,1,2,0,0,4,1,0,42,28,4.348410034058212,True,PLATINUM
2,3,7,0,2,0,1,1,2,1,1,36,47,-6.8442952096808725,False,PLATINUM
3,10,5,3,0,2,0,3,2,1,0,61,39,4.510047489481636,True,PLATINUM
4,11,2,3,0,0,0,2,1,1,1,31,24,4.185792064807735,True,PLATINUM
5,10,3,2,0,1,0,2,3,1,1,43,41,-2.5205406045813774,True,PLATINUM
6,9,3,1,0,2,0,4,1,2,0,38,29,3.7080397622909445,True,PLATINUM
7,8,1,1,0,1,0,3,1,2,0,32,19,8.127777432704171,True,PLATINUM
8,11,5,5,1,1,2,4,3,1,0,58,63,-4.503183515066269,True,PLATINUM
9,1,6,0,0,0,0,0,4,0,2,16,31,-8.424392665477,False,PLATINUM
10,6,7,0,1,1,0,2,4,0,2,48,50,3.30319152569254,False,PLATINUM
11,8,9,1,1,0,2,2,4,0,2,53,51,1.7742244589665503,False,PLATINUM
12,6,9,0,2,0,2,1,4,1,1,43,39,2.1366975690408267,False,PLATINUM
13,11,3,2,0,0,0,2,2,2,0,40,30,6.725572268587719,True,PLATINUM
14,8,6,1,1,1,0,2,2,1,0,47,34,7.891548778307367,True,PLATINUM
15,11,6,3,0,1,0,1,3,0,2,45,38,0.08099390658186678,True,PLATINUM
16,4,2,2,1,0,0,0,0,0,0,80,71,0.735691573050218,True,PLATINUM
17,4,10,0,3,0,1,1,3,0,1,47,66,-2.240943316943529,False,PLATINUM
18,9,10,2,3,0,2,2,3,1,1,96,47,9.913815136435005,True,PLATINUM
19,11,5,3,0,2,0,3,2,0,1,51,45,3.0390037081310837,True,PLATINUM
20,2,11,0,2,0,1,1,2,0,2,25,40,-8.967117655543277,False,PLATINUM
21,11,2,3,0,0,0,2,2,1,1,55,33,10.027469798200414,True,PLATINUM
22,11,3,3,0,1,0,3,1,2,0,28,30,0.31113694983343265,True,PLATINUM
23,6,10,1,2,1,1,3,3,1,1,34,40,-1.1575946321350798,False,PLATINUM
24,11,5,2,1,0,0,1,1,1,0,40,23,12.142132003477741,True,PLATINUM
25,11,7,4,1,1,1,3,2,0,1,52,60,-2.222222915408558,True,PLATINUM
26,11,2,2,0,1,0,2,1,0,2,37,28,9.740869233770091,True,PLATINUM
27,10,1,1,0,1,0,2,1,1,0,54,36,4.296845800229114,True,PLATINUM
28,4,2,2,0,0,0,0,0,0,0,68,64,-1.006290272570645,True,PLATINUM
