,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,11,0,4,0,2,1,3,0,2,25,45,-9.88380347795404,False,DIAMOND
1,1,11,0,2,0,0,1,3,0,2,10,25,-8.816042997410918,False,DIAMOND
2,9,6,1,0,2,0,4,0,0,2,43,38,1.1202551601295951,True,DIAMOND
3,3,10,0,2,0,1,2,1,0,2,19,28,-8.817304561262176,False,DIAMOND
4,7,7,0,1,3,0,3,4,2,0,41,46,-4.987773497708261,False,DIAMOND
5,10,6,4,1,1,1,2,3,2,0,58,43,4.803135445093034,True,DIAMOND
6,3,1,0,0,1,0,3,0,2,0,28,13,10.105059459895486,True,DIAMOND
7,8,6,1,1,0,2,4,0,2,0,36,28,0.9075350333501007,True,DIAMOND
8,11,2,3,0,1,0,4,0,1,1,51,23,10.269143333848653,True,DIAMOND
9,11,1,3,0,1,0,2,2,2,0,29,10,10.692234510642564,True,DIAMOND
10,0,9,0,1,0,1,1,2,1,1,23,24,0.6075957414535225,False,DIAMOND
11,7,6,1,0,1,1,3,2,0,2,60,37,4.030122386628776,True,DIAMOND
12,5,1,1,0,0,1,3,1,2,0,47,23,9.417945852175542,True,DIAMOND
13,4,3,0,0,1,0,3,0,2,0,30,17,10.208858107948892,True,DIAMOND
14,4,8,0,1,0,1,1,4,0,2,33,43,-4.692972952911511,False,DIAMOND
15,11,2,2,0,1,0,2,2,1,1,38,19,7.893410681273458,True,DIAMOND
16,10,6,3,0,1,1,5,0,2,0,50,32,3.9698521284609143,True,DIAMOND
17,2,10,0,3,0,1,2,2,1,1,19,21,-3.799561481102991,False,DIAMOND
18,11,2,4,0,2,0,4,0,1,0,66,34,6.653517635335973,True,DIAMOND
19,6,10,0,2,1,1,2,2,1,0,36,46,-5.591489119531303,False,DIAMOND
20,11,9,3,3,2,1,3,3,1,1,49,47,-2.277487536480578,False,DIAMOND
21,11,7,3,1,2,1,3,3,1,1,36,32,1.5060864351049474,True,DIAMOND
22,9,4,1,0,2,0,3,2,1,1,38,37,0.1020575667842607,True,DIAMOND
23,2,2,0,0,0,0,4,0,1,1,35,26,4.903117693786378,True,DIAMOND
24,6,8,0,1,2,0,3,3,0,2,53,51,1.0057771427893982,False,DIAMOND
25,11,3,4,0,2,0,2,3,2,0,44,52,-5.697229623638449,True,DIAMOND
26,10,5,3,1,2,0,3,4,2,0,39,31,3.500103954787761,True,DIAMOND
27,10,3,2,0,1,0,3,1,1,1,41,20,9.158272801098235,True,DIAMOND
28,3,9,0,1,0,1,0,4,1,1,20,33,-7.757494314207534,False,DIAMOND
29,2,11,0,2,0,1,3,1,0,2,25,42,-7.202396458648174,False,DIAMOND
30,11,1,2,0,1,0,2,1,0,1,46,26,7.2768003104233685,True,DIAMOND
31,4,11,0,3,1,1,3,2,0,2,44,36,0.46968710026863647,False,DIAMOND
32,8,10,2,2,1,1,1,4,1,1,47,34,3.180687105770126,False,DIAMOND
33,1,10,0,2,0,1,0,2,1,1,12,27,-14.1749623085983,False,DIAMOND
34,2,7,0,1,0,1,2,1,0,1,10,25,-11.494178832111288,False,DIAMOND
