,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,3,2,0,0,1,4,0,1,1,29,19,4.625910886913147,True,GOLD
1,3,10,0,2,0,1,1,4,0,1,36,43,-2.952672080655347,False,GOLD
2,5,9,1,2,0,0,2,3,0,1,46,58,-5.4699562104254795,False,GOLD
3,11,1,2,0,0,0,1,1,1,0,29,21,8.335563806283972,True,GOLD
4,11,9,7,2,1,1,4,1,2,0,46,56,-5.074433695752909,False,GOLD
5,5,1,0,0,1,0,2,2,1,0,32,22,7.442185713004044,True,GOLD
6,2,11,0,3,0,1,0,4,1,1,22,39,-7.911491132655144,False,GOLD
7,9,7,2,2,1,1,5,0,0,2,52,20,9.55431803541439,True,GOLD
8,1,9,0,1,0,1,0,4,0,2,19,32,-7.047056563859819,False,GOLD
9,3,10,0,2,0,0,1,3,2,0,29,51,-4.6022508379909155,False,GOLD
10,2,11,0,3,1,1,0,4,1,1,23,35,-6.344445720393892,False,GOLD
11,3,7,0,1,0,1,2,2,0,2,26,47,-9.760477404937255,False,GOLD
12,10,7,2,4,1,1,3,2,2,0,42,24,9.65548182683591,True,GOLD
13,10,0,2,0,1,0,4,0,1,1,31,13,12.34917180396058,True,GOLD
14,11,5,5,1,2,0,4,2,2,0,54,44,3.804684940766599,True,GOLD
15,3,9,0,2,0,0,1,3,1,1,25,39,-6.342008895784517,False,GOLD
16,11,2,2,0,0,0,4,0,1,1,41,23,5.714788374025737,True,GOLD
17,8,0,2,0,1,0,2,1,1,0,34,21,10.426613941031938,True,GOLD
18,5,7,0,1,0,1,0,3,2,0,32,35,0.5241548560771037,False,GOLD
19,10,5,2,0,1,0,4,0,2,0,24,18,5.730687470136026,True,GOLD
20,5,9,0,2,0,1,4,1,0,2,42,24,9.797870744101779,False,GOLD
21,9,6,2,0,2,0,2,2,1,1,41,26,8.142502662189116,True,GOLD
22,5,0,0,0,1,0,4,0,2,0,30,12,15.15399032337196,True,GOLD
23,3,9,0,2,0,1,2,1,1,0,34,42,-6.21420742575738,False,GOLD
24,11,1,2,0,1,0,4,1,1,1,41,25,9.062409447448573,True,GOLD
25,2,9,0,1,0,1,1,2,1,1,19,35,-7.84477579636188,False,GOLD
26,2,9,0,1,0,1,0,4,0,2,13,28,-10.928523174454206,False,GOLD
27,10,1,2,0,1,0,2,1,1,1,42,26,11.37499109072536,True,GOLD
28,9,8,2,2,1,0,4,2,0,1,41,45,-1.4717038271823313,True,GOLD
29,8,2,1,0,1,0,2,1,0,2,44,24,11.472937718689767,True,GOLD
30,9,6,1,0,1,0,4,1,0,1,56,32,2.267679768167895,True,GOLD
31,8,10,1,3,1,1,1,4,0,2,40,51,-1.2638994345797485,False,GOLD
32,2,7,0,1,0,1,1,3,0,2,19,34,-6.729237977772797,False,GOLD
33,8,6,1,0,1,0,4,0,1,0,36,18,7.711885584555667,True,GOLD
34,4,9,0,2,0,1,0,4,0,1,13,33,-11.537108352940905,False,GOLD
35,11,2,2,0,0,0,2,1,1,1,32,15,10.272245766402431,True,GOLD
