,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,11,0,3,0,1,2,2,1,1,31,36,-6.669010634406554,False,PLATINUM
1,10,2,2,0,1,0,1,2,2,0,35,16,9.283206856434859,True,PLATINUM
2,10,0,2,0,1,0,2,1,2,0,37,21,7.824076107627299,True,PLATINUM
3,3,11,0,3,0,2,0,3,0,1,29,31,-0.42544036259309337,False,PLATINUM
4,8,6,1,0,1,0,4,0,1,1,40,33,5.183523084721898,True,PLATINUM
5,8,8,1,1,2,0,2,2,1,0,29,31,-3.7092809717342874,True,PLATINUM
6,3,9,0,1,0,1,0,4,0,1,19,40,-8.47349334992218,False,PLATINUM
7,10,1,1,0,1,0,3,1,0,1,36,12,14.809061625019009,True,PLATINUM
8,6,9,0,2,2,0,2,3,0,2,29,37,1.1616083761016185,False,PLATINUM
9,9,4,2,0,1,0,4,0,1,1,25,10,13.574544698471044,True,PLATINUM
10,11,3,3,0,2,0,5,0,2,0,43,23,3.133052281348199,True,PLATINUM
11,9,3,2,0,1,1,1,3,2,0,30,25,0.3139989627048436,True,PLATINUM
12,9,6,2,0,2,0,2,3,1,0,32,38,-3.8033964798858833,True,PLATINUM
13,3,7,0,1,0,0,0,3,1,1,18,33,-10.573526590624368,False,PLATINUM
14,9,2,1,0,0,1,3,1,2,0,41,31,4.143595856082932,True,PLATINUM
15,8,1,1,0,1,0,1,2,0,2,28,15,10.219905313926297,True,PLATINUM
16,1,11,0,4,0,2,1,4,0,2,27,50,-5.386807073542272,False,PLATINUM
17,10,0,2,0,1,0,2,1,2,0,47,16,14.402412330836249,True,PLATINUM
18,9,2,1,0,1,0,4,0,1,0,41,25,4.498234760353647,True,PLATINUM
19,10,2,2,0,1,0,4,0,2,0,31,24,3.074899228661131,True,PLATINUM
20,8,3,1,0,1,0,3,1,1,1,29,25,2.825880184790215,True,PLATINUM
21,3,9,0,3,0,2,2,2,0,2,30,37,-6.777472504951177,False,PLATINUM
22,11,2,1,0,1,0,4,0,1,1,32,19,6.324623339129303,True,PLATINUM
23,11,2,3,0,1,0,3,1,1,1,38,24,7.059243356680106,True,PLATINUM
24,3,7,0,1,1,1,2,2,1,1,36,40,-3.152577515454716,False,PLATINUM
25,7,0,2,0,0,0,1,2,0,2,25,12,8.899374508694372,True,PLATINUM
