,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,1,0,0,1,0,2,1,1,1,35,20,10.638287423916822,True,PLATINUM
1,11,1,3,0,1,0,4,0,2,0,39,17,13.01518993349503,True,PLATINUM
2,6,10,0,2,0,2,0,6,1,1,45,63,-2.4967773567911493,False,PLATINUM
3,7,3,1,0,1,1,5,0,0,1,41,28,6.761785240020224,True,PLATINUM
4,4,9,0,1,0,2,1,3,1,1,20,45,-9.970152275995936,False,PLATINUM
5,11,5,6,2,2,1,2,4,1,0,60,56,3.9892458149535415,True,PLATINUM
6,9,8,2,1,0,1,2,3,2,0,40,55,-5.936225928095787,False,PLATINUM
7,10,5,2,0,2,0,3,2,0,2,35,18,8.465853689011446,True,PLATINUM
8,2,11,0,4,0,2,2,2,0,2,28,26,4.153040633032077,False,PLATINUM
9,2,11,0,2,0,2,1,4,1,0,28,38,-3.289179320873707,False,PLATINUM
10,3,11,0,3,0,1,0,4,1,0,16,34,-10.107234350133929,False,PLATINUM
11,3,11,0,3,0,2,1,3,1,1,25,42,-8.875279136062026,False,PLATINUM
12,3,9,0,1,0,2,1,4,0,2,37,47,-4.96351578941389,False,PLATINUM
13,10,0,2,0,1,0,2,1,1,1,43,19,12.440002144664085,True,PLATINUM
14,11,2,3,0,1,1,2,2,2,0,40,33,3.1992561530798582,True,PLATINUM
15,11,1,4,0,1,0,4,0,1,0,45,18,12.148471720001787,True,PLATINUM
16,3,7,0,1,0,1,1,3,0,2,15,31,-12.209895382059777,False,PLATINUM
17,5,11,0,2,0,1,4,1,1,1,31,44,-4.348623179372851,False,PLATINUM
18,9,6,2,0,0,1,2,3,0,1,31,35,-1.9340371828837704,True,PLATINUM
19,3,10,0,2,0,0,1,3,0,2,31,39,-3.6497462211109806,False,PLATINUM
20,9,2,1,0,2,0,3,2,2,0,43,27,8.218376983786413,True,PLATINUM
21,9,7,1,0,3,1,4,2,1,1,64,46,5.057404686281409,True,PLATINUM
22,5,11,0,2,0,2,3,2,1,1,40,39,-2.375634370389484,False,PLATINUM
23,11,4,2,0,1,0,4,0,0,2,44,24,6.744431086505109,True,PLATINUM
24,11,8,1,3,1,1,1,4,1,1,40,33,3.8791137244434637,True,PLATINUM
25,3,7,0,1,0,1,0,2,0,2,16,35,-11.056741917333476,False,PLATINUM
26,7,8,1,1,1,1,3,2,0,2,26,43,-11.353464406570424,False,PLATINUM
27,8,6,1,1,1,2,4,2,1,1,59,59,2.4905759436516206,True,PLATINUM
28,4,9,0,2,0,1,0,4,1,1,21,33,-4.292554835534247,False,PLATINUM
29,9,0,1,0,0,0,3,0,2,0,30,15,8.965164236936246,True,PLATINUM
30,0,11,0,3,0,1,0,3,1,1,22,38,-8.095676313375115,False,PLATINUM
31,10,1,6,0,2,0,5,2,1,0,66,62,0.853552535837899,True,PLATINUM
32,3,11,0,2,0,1,1,3,2,0,21,31,-2.9221218706257943,False,PLATINUM
33,2,11,0,4,1,1,0,4,1,1,37,50,-5.856246508296394,False,PLATINUM
34,2,9,0,1,0,1,2,1,0,1,14,23,-9.155187105490029,False,PLATINUM
35,3,11,0,3,1,2,3,4,0,2,45,50,-1.2619171796033797,False,PLATINUM
