,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,5,2,0,1,0,3,1,1,1,37,15,14.140947342881702,True,PLATINUM
1,8,3,2,0,1,0,4,0,2,0,38,23,7.305920508108542,True,PLATINUM
2,6,7,0,1,0,2,1,5,2,0,35,53,-3.6994696445523445,False,PLATINUM
3,4,8,1,1,1,0,1,3,1,0,22,40,-8.495631810370995,False,PLATINUM
4,11,9,4,3,2,1,3,4,2,0,29,47,-5.807751424419244,False,PLATINUM
5,7,6,2,0,2,0,1,3,0,2,39,34,2.5118088680501813,True,PLATINUM
6,9,6,3,1,1,1,2,3,2,0,44,34,3.0751877251382993,True,PLATINUM
7,11,3,5,0,3,0,3,2,1,1,58,41,6.900752693943772,True,PLATINUM
8,9,3,1,0,1,1,3,2,1,0,48,43,2.5911682895018657,True,PLATINUM
9,0,11,0,3,0,1,2,1,0,1,23,18,-0.3147623815186904,False,PLATINUM
10,1,8,0,1,0,1,1,3,0,1,21,24,-0.05521238690252517,False,PLATINUM
11,5,10,1,3,0,3,2,4,1,1,33,47,-3.2797411758280504,False,PLATINUM
12,11,3,3,0,1,0,4,1,2,0,27,22,6.847544359434259,True,PLATINUM
13,10,0,2,0,0,0,3,1,2,0,34,21,4.673972351686153,True,PLATINUM
14,10,0,2,0,0,0,4,0,2,0,38,17,12.490206989264287,True,PLATINUM
15,5,10,0,2,0,2,4,1,1,0,27,35,-6.313432221841168,False,PLATINUM
16,1,11,0,3,0,1,0,4,0,2,6,34,-16.41925023031771,False,PLATINUM
17,9,7,2,1,1,1,4,1,2,0,39,35,-0.15547348297030084,True,PLATINUM
18,8,3,1,0,1,0,4,0,0,1,31,13,12.739072061773406,True,PLATINUM
19,4,6,0,1,0,1,1,3,0,2,22,35,-8.877624641054943,False,PLATINUM
20,10,5,2,0,2,0,3,1,2,0,36,21,8.419880930306043,True,PLATINUM
21,1,11,0,3,0,1,0,3,2,0,18,28,-9.752956276533567,False,PLATINUM
22,7,3,1,0,1,0,3,1,1,0,38,24,8.479157887626819,True,PLATINUM
23,9,5,2,0,1,1,3,2,2,0,38,32,-0.35053797684548726,True,PLATINUM
24,9,1,1,0,0,0,4,0,1,1,41,24,6.428019551057496,True,PLATINUM
25,4,10,0,2,0,1,2,2,0,1,29,28,-0.968881055818521,False,PLATINUM
26,9,2,1,0,1,0,2,2,1,0,31,22,6.965323223809982,True,PLATINUM
27,9,0,1,0,1,0,3,0,2,0,30,15,11.511996652517347,True,PLATINUM
28,11,4,3,0,2,0,2,2,0,2,27,20,6.138524546443492,True,PLATINUM
29,8,3,1,0,1,0,3,1,1,1,40,20,11.581552503236733,True,PLATINUM
30,3,10,0,1,0,1,0,4,1,1,29,39,-7.435159976111777,False,PLATINUM
31,11,3,3,0,2,0,4,1,1,1,48,31,4.672444541313155,True,PLATINUM
32,5,10,0,2,1,1,1,4,1,1,28,58,-11.387829124736804,False,PLATINUM
33,10,4,2,0,2,0,3,3,0,2,52,40,2.5323585759717417,True,PLATINUM
34,3,7,0,0,0,2,1,4,1,0,32,38,-3.9211444694292155,False,PLATINUM
