,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,11,1,2,0,1,3,2,2,0,46,44,-4.1917519959947,False,IRON
1,6,9,0,1,0,1,2,3,1,0,38,61,-5.331031732399637,False,IRON
2,6,10,0,2,0,1,2,2,1,0,39,39,-5.453457708448418,False,IRON
3,9,4,1,0,0,1,5,1,1,0,40,34,-0.6891531529992392,True,IRON
4,5,11,0,2,0,2,3,3,0,2,26,45,-7.702844334890699,False,IRON
5,9,4,3,0,0,1,3,2,2,0,54,43,3.2084760960411174,True,IRON
6,10,1,2,0,0,0,4,0,1,1,41,18,13.420465786773445,True,IRON
7,8,8,1,1,1,0,3,2,0,2,45,31,-0.38927556222107995,True,IRON
8,2,11,0,2,0,2,2,3,1,1,28,47,-6.648422296758575,False,IRON
9,9,6,1,1,0,0,3,1,1,1,36,28,4.103029020352025,True,IRON
10,9,9,2,1,0,1,1,3,2,0,37,37,-3.51605511293247,False,IRON
11,1,9,0,1,0,1,2,1,0,1,24,34,1.0456236166081396,False,IRON
12,4,2,0,0,0,0,1,3,0,1,22,35,-4.6765862355210075,False,IRON
13,11,1,3,0,0,0,3,0,1,1,39,9,14.236173813090044,True,IRON
14,2,7,0,1,0,1,0,3,1,0,10,34,-15.37135719768034,False,IRON
15,11,8,5,1,3,0,4,2,0,2,54,40,4.083677812276342,True,IRON
16,4,5,0,0,0,1,0,4,1,1,26,41,-8.921587813648507,False,IRON
17,1,11,0,3,0,1,0,4,0,2,24,49,-12.718611864568153,False,IRON
18,4,9,0,3,0,2,1,4,0,2,36,40,-1.9205264871409824,False,IRON
19,5,10,0,2,0,1,0,5,0,1,21,37,-10.0232635647356,False,IRON
20,7,4,0,0,0,0,3,1,2,0,42,20,12.000739152676424,True,IRON
21,5,10,1,1,0,1,1,4,1,0,36,58,-7.851483690683587,False,IRON
22,2,7,0,2,0,1,0,3,0,1,26,27,-9.534451125758356,False,IRON
23,3,7,0,1,0,0,0,4,0,1,33,38,0.5621953064354344,False,IRON
24,2,7,0,1,0,1,1,3,0,1,17,29,-11.32498113821675,False,IRON
