,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,8,0,1,1,0,1,4,0,2,24,42,-9.490907230028114,False,DIAMOND
1,11,4,6,0,2,0,5,1,0,1,39,49,-2.5578480286827556,True,DIAMOND
2,1,10,0,2,0,1,1,3,1,1,24,43,-5.969132824490806,False,DIAMOND
3,5,9,0,2,1,1,2,2,2,0,31,49,-9.67039588413985,False,DIAMOND
4,4,2,2,1,0,0,0,0,0,0,108,85,1.5570689317213606,True,DIAMOND
5,9,0,1,0,1,0,3,0,1,1,39,29,3.4626009886832136,True,DIAMOND
6,11,1,3,0,1,0,1,2,1,1,38,21,9.645763796481553,True,DIAMOND
7,5,10,1,4,1,1,2,3,0,1,35,54,-6.441622812617219,False,DIAMOND
8,11,0,3,0,2,0,4,0,2,0,25,25,-4.367429743936746,True,DIAMOND
9,11,4,4,0,1,2,4,1,1,1,41,33,2.99939676337371,True,DIAMOND
10,8,2,2,0,1,0,3,1,1,1,56,33,8.406973290429079,True,DIAMOND
11,0,11,0,3,0,1,0,3,0,2,22,50,-15.240120978987783,False,DIAMOND
12,6,4,0,0,1,0,3,1,1,1,27,20,5.675298988237643,True,DIAMOND
13,11,4,4,0,1,0,3,1,0,2,25,29,-8.885850348806308,True,DIAMOND
14,4,10,0,3,1,2,4,2,1,1,51,46,2.251029317477375,False,DIAMOND
15,11,8,3,1,0,2,1,5,0,2,21,43,-10.433399867495304,False,DIAMOND
16,3,11,0,3,1,1,2,3,1,1,27,29,0.15221883213803267,False,DIAMOND
17,11,2,3,0,1,0,3,1,0,2,48,20,10.941652731109372,True,DIAMOND
18,7,3,1,0,1,1,5,1,0,2,30,24,4.150945038325787,True,DIAMOND
19,2,9,0,1,0,1,0,4,1,1,20,31,-7.27440000238942,False,DIAMOND
20,3,10,0,2,0,1,0,4,0,1,33,39,-2.780709186332203,False,DIAMOND
21,11,5,2,1,1,1,4,1,1,0,31,36,-4.530565886843561,True,DIAMOND
22,9,4,2,0,0,2,3,2,1,1,39,35,-0.5811464877863415,True,DIAMOND
23,11,1,4,0,1,0,4,0,1,0,44,28,3.810862975898779,True,DIAMOND
24,5,11,0,3,0,1,1,3,1,0,19,61,-15.135709219286806,False,DIAMOND
25,9,5,1,1,1,1,2,4,1,1,38,41,1.2214327460653962,True,DIAMOND
26,0,11,0,3,1,1,3,2,0,1,30,48,-11.303767529031,False,DIAMOND
27,8,2,2,0,0,0,2,2,2,0,36,33,-0.21118842336922228,True,DIAMOND
28,7,9,0,2,3,0,2,4,0,1,47,45,-0.7141315140909938,False,DIAMOND
