,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,2,3,0,1,0,2,2,0,2,55,43,2.6325288395559596,True,DIAMOND
1,1,10,0,2,0,1,0,2,0,2,21,43,-11.252417830973386,False,DIAMOND
2,9,7,1,1,2,1,5,1,2,0,42,41,-0.7721398025551309,True,DIAMOND
3,11,2,3,0,1,0,3,0,1,1,40,15,9.803114455259987,True,DIAMOND
4,3,10,0,2,0,1,1,2,0,2,8,26,-12.2606626754637,False,DIAMOND
5,11,5,3,0,1,0,4,0,1,1,46,21,8.964282105250952,True,DIAMOND
6,8,3,1,0,0,1,4,0,2,0,24,18,4.275641641481997,True,DIAMOND
7,2,4,0,0,1,0,1,3,2,0,21,41,-11.577789907417468,False,DIAMOND
8,1,11,0,4,0,1,2,2,0,2,48,56,-0.10989644611306915,False,DIAMOND
9,2,10,0,2,0,0,1,2,0,2,14,38,-13.643020396112007,False,DIAMOND
10,8,3,1,0,0,1,3,1,2,0,41,28,8.254154764107724,True,DIAMOND
11,5,8,0,1,0,2,2,2,1,1,38,56,-9.67654009966219,False,DIAMOND
12,7,5,1,0,0,1,4,0,0,2,28,34,-0.591785827363907,True,DIAMOND
13,2,10,0,2,0,2,3,2,1,1,23,38,-6.096760910542017,False,DIAMOND
14,9,2,2,0,1,0,2,1,0,1,45,25,6.827987224168012,True,DIAMOND
15,8,6,1,1,1,1,2,2,1,1,29,40,-2.74612328026776,False,DIAMOND
16,7,8,0,1,1,1,2,4,1,1,32,42,-4.038807950492135,False,DIAMOND
17,11,6,5,0,2,2,4,3,2,0,42,32,2.4233169608783243,True,DIAMOND
18,8,6,1,0,2,0,1,3,0,2,42,37,6.760669764749061,True,DIAMOND
19,2,11,0,1,0,1,1,2,0,2,20,40,-12.668850637646415,False,DIAMOND
20,10,4,1,0,2,0,4,1,2,0,49,37,-1.2424243899696208,True,DIAMOND
21,10,0,2,0,1,0,3,0,1,1,31,13,9.05836899248174,True,DIAMOND
22,3,11,0,3,0,2,1,3,0,2,24,45,-9.976506702290365,False,DIAMOND
23,1,6,0,0,0,1,0,4,0,2,18,23,-4.402124478546149,False,DIAMOND
24,2,11,0,2,0,1,2,2,0,2,17,38,-10.139245608074347,False,DIAMOND
25,3,7,0,2,1,0,2,2,0,2,40,40,0.7958226645761997,False,DIAMOND
26,5,10,0,2,0,2,2,3,0,2,26,43,-10.013196435113144,False,DIAMOND
27,2,9,0,2,0,1,2,2,0,2,19,33,-10.807890506677673,False,DIAMOND
28,4,7,0,1,0,1,2,2,1,1,34,45,-6.230450732609256,False,DIAMOND
29,4,6,0,1,0,1,1,1,2,0,20,30,-6.431035803244299,False,DIAMOND
30,9,1,2,0,1,0,2,1,2,0,26,14,10.324472943538538,True,DIAMOND
31,4,11,0,3,0,1,1,3,2,0,36,44,-4.346732239062916,False,DIAMOND
32,11,6,5,1,2,2,4,2,2,0,38,35,1.0456857736242355,True,DIAMOND
33,9,2,1,0,1,0,3,0,0,2,41,24,4.15164214259233,True,DIAMOND
34,10,3,3,0,2,0,4,0,1,1,33,25,5.386371771266049,True,DIAMOND
35,9,2,1,0,1,0,3,1,1,1,34,25,6.636093571171948,True,DIAMOND
36,10,0,2,0,2,0,4,0,2,0,40,20,11.142340771778514,True,DIAMOND
37,1,11,0,2,0,1,2,2,0,2,23,32,-9.27726498764192,False,DIAMOND
