,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,8,2,2,0,1,2,2,2,0,34,35,-5.162776476476118,True,GOLD
1,10,9,2,3,2,2,3,3,1,1,36,39,-4.809014392693136,False,GOLD
2,2,10,0,2,0,1,0,3,1,1,21,38,-8.290154189379841,False,GOLD
3,8,8,1,1,1,1,3,2,1,1,55,43,3.0627636614675353,False,GOLD
4,8,2,1,0,0,0,4,0,2,0,38,23,8.486572899100263,True,GOLD
5,2,10,0,2,0,1,3,2,2,0,17,19,-7.295265154497805,False,GOLD
6,3,7,0,1,0,1,1,3,1,1,15,42,-12.54869558325867,False,GOLD
7,2,9,0,2,0,1,0,3,1,0,23,44,-9.487430376135691,False,GOLD
8,3,10,0,2,0,1,0,4,0,2,18,32,-9.753009880518064,False,GOLD
9,8,5,2,0,1,0,3,2,0,1,40,24,5.506531820041296,True,GOLD
10,9,6,3,0,2,0,2,2,1,1,39,27,5.115483464936148,True,GOLD
11,6,9,1,1,1,2,3,2,1,1,56,44,5.951681614804286,True,GOLD
12,11,5,4,1,1,0,2,2,2,0,32,30,-1.8953754452450724,True,GOLD
13,9,3,1,0,1,0,1,3,1,0,31,25,5.799752645769736,True,GOLD
14,3,4,0,0,0,0,2,1,0,2,13,27,-8.150742564864245,False,GOLD
15,9,6,2,0,2,0,3,1,1,1,41,24,9.016908567017452,True,GOLD
16,5,9,0,1,0,1,3,1,0,1,38,46,-7.5428257485969255,False,GOLD
17,0,11,0,3,0,1,0,4,1,1,19,38,-7.062424040042899,False,GOLD
18,8,5,2,1,0,1,2,2,1,0,44,35,3.8774690559550535,True,GOLD
19,3,11,0,2,0,1,2,2,0,1,27,28,-3.9369655406706414,False,GOLD
20,1,6,0,0,0,1,1,3,1,1,29,43,-3.331300543259445,False,GOLD
21,7,8,3,2,1,1,2,3,2,0,41,41,2.1505386028971287,False,GOLD
22,8,7,1,0,1,0,2,1,2,0,39,21,8.091033698069118,True,GOLD
23,7,9,0,1,1,1,4,2,2,0,48,49,-1.94026686610529,False,GOLD
24,3,11,0,3,0,1,3,2,1,1,12,22,-13.01347191212303,False,GOLD
25,0,4,0,0,0,1,2,1,0,2,12,18,-6.614219107900368,False,GOLD
26,4,2,0,0,1,0,2,1,1,1,21,11,9.602957245938676,True,GOLD
27,1,11,0,1,0,1,0,4,1,1,12,26,-5.414702696419184,False,GOLD
28,9,3,1,0,1,0,3,0,2,0,32,15,12.211218592127302,True,GOLD
29,8,5,1,0,0,0,3,1,1,0,34,22,4.002338769886748,True,GOLD
30,4,2,2,2,0,0,0,0,0,0,55,71,-5.666236635392728,True,GOLD
