,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,7,0,0,0,0,0,4,0,0,31,48,-5.4459599540128,False,BRONZE
1,11,2,3,0,1,0,1,3,2,0,32,26,1.4868118950266123,True,BRONZE
2,10,3,2,0,1,0,3,2,2,0,36,28,1.983179202984175,True,BRONZE
3,1,9,0,2,0,1,0,4,1,0,22,41,-3.5491377602287386,False,BRONZE
4,5,11,0,3,0,1,2,2,0,2,33,34,-3.799215403134937,False,BRONZE
5,4,10,0,2,0,0,0,4,1,0,20,35,-10.17744628642209,False,BRONZE
6,8,5,1,0,1,0,3,1,2,0,41,39,5.09606767001231,True,BRONZE
7,1,8,0,1,0,0,0,3,0,2,22,22,-4.032231014142326,False,BRONZE
8,8,9,1,1,1,0,4,2,0,1,37,42,-5.673409853736864,False,BRONZE
9,9,4,3,0,1,0,1,2,1,0,48,27,0.28492250469268754,True,BRONZE
10,11,9,5,1,0,1,1,5,0,1,51,47,0.6699854821673696,False,BRONZE
11,10,4,2,0,0,0,3,0,0,1,52,25,7.232659173824594,True,BRONZE
12,4,9,0,2,0,0,2,2,1,1,30,33,-4.278188494883089,False,BRONZE
13,6,10,0,2,0,0,1,2,0,1,38,42,-4.125255730004419,False,BRONZE
14,9,2,2,0,0,0,2,1,1,1,32,19,5.946361899278514,True,BRONZE
15,1,5,0,0,0,0,1,3,1,0,15,38,-15.276713960787319,False,BRONZE
16,5,5,1,0,1,0,4,0,0,1,47,40,4.483758888075386,True,BRONZE
17,4,1,0,0,0,0,3,0,1,0,27,11,11.110125925414245,True,BRONZE
18,2,11,0,3,0,1,3,1,0,0,24,27,0.2834717300459104,False,BRONZE
19,5,9,0,2,0,1,2,4,0,2,33,48,-13.40496528016211,False,BRONZE
20,7,4,1,0,1,0,1,3,1,0,32,23,4.622999146083238,True,BRONZE
21,8,4,1,0,1,0,3,1,2,0,19,12,12.964752253348145,True,BRONZE
22,1,10,0,2,0,1,0,3,0,2,14,53,-17.187991037080867,False,BRONZE
23,3,9,0,1,0,0,2,1,0,0,19,29,-2.71877624844673,False,BRONZE
24,9,8,2,0,1,0,4,1,1,1,42,26,10.003642292768966,True,BRONZE
25,1,8,0,1,0,0,0,2,2,0,18,40,-13.77551771011819,False,BRONZE
26,11,6,4,0,1,0,2,4,0,2,36,32,2.5431572889018597,True,BRONZE
27,6,10,2,2,1,1,3,2,1,1,42,39,2.8290004585094053,False,BRONZE
28,0,10,0,2,0,1,0,4,0,2,30,47,-7.367192530257519,False,BRONZE
29,9,6,1,0,1,0,4,0,1,1,48,33,7.096700561073611,True,BRONZE
30,11,3,3,0,2,0,4,1,1,0,53,39,4.052118048458944,True,BRONZE
31,9,2,1,0,1,0,3,0,1,1,34,18,13.610152815010874,True,BRONZE
32,1,11,0,4,0,1,1,3,0,2,19,37,-9.526948192025031,False,BRONZE
33,4,9,0,1,0,0,0,4,1,1,33,30,0.017002471085092452,False,BRONZE
34,1,10,0,2,0,1,1,3,2,0,32,43,-3.0548149703336804,False,BRONZE
35,10,2,3,0,1,0,4,1,2,0,31,26,-0.3076327933831067,True,BRONZE
36,0,11,0,3,0,0,1,2,0,2,20,34,-7.1565448401814535,False,BRONZE
37,0,9,0,1,0,0,3,0,2,0,12,19,-9.084097144340404,False,BRONZE
38,8,2,0,0,1,0,3,1,2,0,26,13,6.714868850622679,True,BRONZE
39,10,3,2,0,1,0,4,1,0,1,47,29,4.416944074051649,True,BRONZE
40,6,11,0,4,2,1,3,5,2,0,70,75,-5.219478360706248,False,BRONZE
