,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,10,0,2,0,1,1,3,1,0,33,46,-13.117090173529434,False,IRON
1,9,7,1,2,2,0,4,1,1,1,35,36,1.6357170401596832,True,IRON
2,11,1,2,0,0,0,3,1,1,1,55,26,13.850173051496824,True,IRON
3,2,9,0,2,0,0,0,3,1,1,23,38,-7.058852969760743,False,IRON
4,7,10,1,3,1,0,2,4,2,0,43,61,-5.448848253370578,False,IRON
5,1,10,0,2,1,0,1,3,0,2,29,39,-8.422927282033356,False,IRON
6,11,9,3,1,2,0,3,2,1,0,58,65,-4.069212733086289,True,IRON
7,8,10,1,2,2,1,1,4,1,1,50,66,-4.18406488129208,False,IRON
8,10,7,5,1,3,0,4,1,1,1,41,37,-1.938058844915247,True,IRON
9,11,7,4,2,1,1,4,1,0,0,40,51,-4.810396166269037,True,IRON
10,7,7,1,1,0,0,3,2,1,0,33,41,-4.528235453145463,False,IRON
11,2,11,0,3,0,1,0,3,0,2,11,39,-16.93359174887654,False,IRON
12,1,9,0,1,0,0,2,2,2,0,20,49,-14.058681398542571,False,IRON
13,11,1,3,0,1,0,3,1,1,0,40,24,10.461480311868776,True,IRON
14,4,8,0,1,0,0,0,2,0,1,16,40,-8.718646032653613,False,IRON
15,2,11,0,4,0,1,0,4,0,2,23,42,-11.075704938836495,False,IRON
16,4,10,0,2,0,2,1,3,0,2,40,44,1.2408788361302001,False,IRON
17,2,6,0,0,0,0,3,1,2,0,12,21,-13.690121140885605,False,IRON
18,1,10,0,3,0,0,1,3,0,1,33,48,-2.4635888276601037,False,IRON
19,4,1,4,0,0,0,0,0,0,0,79,77,-1.1620362554821853,True,IRON
20,2,4,1,3,0,0,0,0,0,0,86,83,1.5730544468552878,False,IRON
21,2,4,2,2,0,0,0,0,0,0,61,62,0.3135577212716214,False,IRON
22,9,7,2,1,1,1,4,1,2,0,40,26,4.24533330939952,True,IRON
23,10,10,2,1,1,1,2,4,1,1,37,41,-1.3154199135688032,True,IRON
24,6,9,1,3,0,1,0,4,0,2,35,50,-7.164387789415869,False,IRON
25,1,8,0,1,0,1,2,1,0,1,22,46,-7.707918219513008,False,IRON
26,8,11,1,2,2,1,2,4,0,2,35,59,-2.804590278676244,False,IRON
27,2,11,0,3,0,0,0,5,0,2,20,45,-8.137523980480687,False,IRON
