,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,8,1,0,2,0,1,3,1,1,28,33,-1.4862239829768455,True,GOLD
1,10,8,4,4,1,3,5,2,1,1,36,31,-0.4981556732886574,True,GOLD
2,10,3,2,0,1,0,2,2,2,0,39,17,9.680960720521085,True,GOLD
3,8,1,1,0,1,0,1,1,2,0,32,12,14.49578611588732,True,GOLD
4,10,4,3,1,2,0,3,2,2,0,48,40,0.6710035726584991,True,GOLD
5,10,2,2,0,1,0,3,1,1,1,39,19,10.693052196514564,True,GOLD
6,5,6,1,1,1,1,2,2,0,1,44,35,3.8313230856862646,True,GOLD
7,3,9,0,1,0,2,1,3,0,2,24,37,-3.9479358632537185,False,GOLD
8,10,1,1,0,1,0,3,1,2,0,27,25,2.6719403891314357,True,GOLD
9,7,3,1,0,1,0,1,3,1,1,34,17,7.064071965667019,True,GOLD
10,2,11,0,4,0,1,0,4,1,1,19,38,-12.2020227163813,False,GOLD
11,3,11,0,3,0,1,1,3,0,2,18,36,-11.604938227493001,False,GOLD
12,2,10,0,3,0,2,1,3,0,2,26,40,-7.67236676507752,False,GOLD
13,11,4,3,0,0,1,2,1,2,0,27,20,2.899204176931633,True,GOLD
14,7,11,1,3,2,1,1,4,1,1,42,52,-4.857161257606968,True,GOLD
15,5,1,1,0,0,0,4,0,1,0,32,22,4.792125220010696,True,GOLD
16,8,4,1,0,1,0,2,1,2,0,33,16,8.220444714937102,True,GOLD
17,7,7,1,1,2,0,3,2,2,0,61,42,5.537017122787411,True,GOLD
18,10,3,2,0,2,0,4,0,2,0,30,17,8.618226686725833,True,GOLD
19,9,1,2,0,1,0,4,0,2,0,33,10,16.438425228843048,True,GOLD
20,11,6,3,0,2,0,4,1,1,1,45,43,-0.6751522657726312,True,GOLD
21,11,2,3,0,1,0,4,0,2,0,34,18,7.4681868448147455,True,GOLD
22,7,1,1,0,1,0,3,0,1,1,29,13,9.757545309722254,True,GOLD
23,8,9,2,2,1,2,2,4,1,1,37,28,3.808307891310413,True,GOLD
24,10,3,2,0,1,0,2,2,2,0,29,10,9.707055304961486,True,GOLD
25,8,3,2,0,1,0,3,0,2,0,33,15,10.431114839462325,True,GOLD
26,5,11,0,3,0,2,2,3,0,2,37,46,-4.477167469546131,False,GOLD
27,10,3,3,0,1,0,1,3,0,2,38,28,7.560316326859088,True,GOLD
28,10,3,2,0,2,0,3,2,2,0,46,22,8.876342773264767,True,GOLD
29,7,4,2,0,1,0,2,3,0,1,40,25,3.35674408106982,True,GOLD
30,7,6,2,1,1,1,3,2,2,0,45,54,-6.0922364712180155,False,GOLD
31,10,2,2,0,1,0,1,2,2,0,41,23,8.521282875353336,True,GOLD
32,8,1,1,0,0,0,2,1,1,1,32,30,0.3354220771760197,True,GOLD
33,9,4,3,0,1,0,3,1,1,1,38,21,9.584952220729704,True,GOLD
34,7,4,1,0,1,1,5,1,0,2,53,32,4.165732211602226,True,GOLD
35,5,6,0,1,1,1,1,4,1,1,38,35,-2.519456658549352,False,GOLD
36,11,6,4,0,1,0,5,1,0,1,43,29,6.513547017516693,True,GOLD
37,5,1,1,0,0,0,2,1,1,0,32,10,14.16472421854624,True,GOLD
38,4,9,0,2,0,1,1,3,1,1,35,42,-3.109659924831199,False,GOLD
39,4,9,0,2,1,1,3,1,1,1,44,38,1.685670532899195,False,GOLD
40,4,11,0,2,0,1,0,4,0,2,28,30,1.081650373510115,False,GOLD
