,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,5,1,0,1,0,2,2,2,0,52,51,1.4929555946830888,True,PLATINUM
1,11,7,2,1,1,0,3,3,0,1,47,41,2.1095291542001178,False,PLATINUM
2,11,2,3,0,1,0,2,1,0,1,51,25,11.956364144806269,True,PLATINUM
3,9,7,1,0,1,0,4,2,0,2,46,44,3.5972665308050438,True,PLATINUM
4,3,9,0,1,1,1,1,4,0,2,40,40,3.4427511616428177,False,PLATINUM
5,0,11,0,1,0,0,2,2,0,2,20,31,-1.0930261783575688,False,PLATINUM
6,1,11,0,3,0,1,0,4,0,1,12,37,-15.824852124149906,False,PLATINUM
7,2,8,0,1,0,0,0,3,0,1,25,39,-9.006055289886419,False,PLATINUM
8,2,5,0,0,0,1,0,2,0,2,16,24,-2.480074898656895,False,PLATINUM
9,4,11,0,3,0,1,0,4,0,2,16,39,-9.549718112349083,False,PLATINUM
10,9,10,1,2,1,0,1,4,0,1,36,40,0.9901794320514696,False,PLATINUM
11,10,3,2,0,1,0,3,1,2,0,41,28,3.12202490313625,True,PLATINUM
12,7,4,1,0,0,0,2,2,0,2,38,28,5.787586975062467,True,PLATINUM
13,4,11,0,2,0,2,1,4,2,0,29,41,-1.0493590571830111,False,PLATINUM
14,10,2,2,0,1,0,3,1,2,0,46,13,13.403678264549583,True,PLATINUM
15,9,4,2,0,1,0,2,2,0,2,35,29,4.6535512108450945,True,PLATINUM
16,10,2,2,0,0,0,3,0,0,2,36,32,4.171624666263341,True,PLATINUM
17,7,2,1,0,1,0,4,0,2,0,31,19,5.257798496188954,True,PLATINUM
18,4,11,0,3,0,1,1,3,0,2,15,22,-4.866812148736365,False,PLATINUM
19,10,5,2,0,1,0,3,2,1,0,33,28,3.2765042839845933,True,PLATINUM
20,9,7,2,1,1,1,3,1,1,1,46,40,2.469873110162929,True,PLATINUM
21,6,9,0,3,0,2,2,3,0,2,23,32,-7.812784154044884,False,PLATINUM
22,2,11,0,3,0,1,0,4,1,1,20,36,-10.767692715213585,False,PLATINUM
23,10,2,3,0,1,0,5,0,2,0,38,30,2.764208531091917,True,PLATINUM
24,1,9,0,2,0,1,0,3,1,1,17,31,-14.668097692083311,False,PLATINUM
25,5,11,0,4,1,2,1,4,0,2,35,37,3.6259551720808005,False,PLATINUM
26,8,3,1,0,1,0,1,2,1,1,48,28,7.930789883331556,True,PLATINUM
27,8,1,1,0,0,0,1,1,2,0,35,27,6.6768309284712615,True,PLATINUM
28,10,4,2,0,1,0,4,1,1,0,37,23,2.4889649823081257,True,PLATINUM
29,0,8,0,0,0,1,1,2,0,2,12,26,-9.295506956108866,False,PLATINUM
30,2,10,0,1,0,1,1,2,1,0,28,48,-5.678080348540206,False,PLATINUM
31,2,11,0,2,0,1,1,2,0,2,27,41,-5.267314473822836,False,PLATINUM
32,3,11,0,3,0,1,1,3,2,0,24,40,-9.688345303201352,False,PLATINUM
33,4,11,0,2,0,1,0,4,1,1,22,43,-9.213201580575813,False,PLATINUM
34,10,4,1,0,1,0,2,3,2,0,33,30,2.289489684585952,True,PLATINUM
35,2,10,0,2,0,1,0,4,1,1,11,41,-12.952167170035182,False,PLATINUM
36,11,2,3,0,1,0,1,2,1,1,29,15,5.2036335226953625,True,PLATINUM
37,3,11,0,3,0,1,2,2,0,1,16,49,-15.211309607493707,False,PLATINUM
