,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,1,3,0,0,0,3,1,1,0,37,20,7.200490666990241,True,DIAMOND
1,9,7,1,0,2,0,2,4,1,0,59,63,-0.5507681800520317,True,DIAMOND
2,11,1,3,0,0,0,2,1,1,0,34,50,-9.093886737485555,True,DIAMOND
3,4,1,3,0,0,0,0,0,0,0,82,65,5.850277347648358,True,DIAMOND
4,4,2,1,0,0,0,0,0,0,0,65,73,-1.52102606248949,True,DIAMOND
5,5,8,0,2,0,0,2,2,0,2,45,43,1.248013167385139,False,DIAMOND
6,10,5,2,0,1,0,5,1,0,1,46,46,1.2749595926330457,True,DIAMOND
7,10,1,3,0,1,0,3,0,2,0,49,29,3.7865965013900578,True,DIAMOND
8,4,1,2,0,0,0,0,0,0,0,72,68,0.10423738810707306,True,DIAMOND
9,3,4,1,1,0,0,0,0,0,0,57,80,-5.120009292262537,False,DIAMOND
10,1,4,0,2,0,0,0,0,0,0,59,71,-0.6890989565739574,False,DIAMOND
11,7,3,1,0,1,0,3,0,1,1,39,27,4.905472207271131,True,DIAMOND
12,11,1,4,0,1,0,3,2,2,0,49,39,3.3366806355971264,True,DIAMOND
13,6,9,1,2,0,1,1,2,0,1,34,42,-1.6831927093939711,False,DIAMOND
14,3,5,0,0,0,0,0,3,0,1,18,43,-13.71316157775632,False,DIAMOND
15,7,10,0,2,1,1,3,3,0,2,41,55,-5.586179087699989,False,DIAMOND
16,6,9,0,1,1,0,2,3,2,0,22,47,-6.706686846463107,False,DIAMOND
17,10,3,2,0,0,0,3,1,0,1,48,29,3.2401992057661957,True,DIAMOND
18,4,2,0,0,0,0,2,2,0,1,34,23,5.851393926126754,True,DIAMOND
19,7,10,1,3,2,1,2,4,0,2,45,37,8.31182023361125,False,DIAMOND
20,3,7,0,2,1,1,1,2,0,2,16,29,-6.067314155363249,False,DIAMOND
21,3,10,0,2,0,1,1,3,0,2,22,37,-6.733345130749981,False,DIAMOND
