,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,8,5,2,0,3,2,5,1,1,41,53,1.2821439326967976,False,IRON
1,5,10,0,4,1,1,2,5,1,0,59,80,-8.420407728226351,False,IRON
2,10,2,3,0,1,0,5,0,2,0,53,41,2.716512895455871,True,IRON
3,1,10,0,2,0,1,1,3,0,1,15,42,-16.407934751782243,False,IRON
4,1,9,0,2,0,1,1,2,0,2,25,39,-10.047607307904588,False,IRON
5,11,3,4,0,2,0,4,2,2,0,54,23,10.452869258245958,True,IRON
6,10,0,2,0,0,0,3,0,1,1,29,11,17.954730056899077,True,IRON
7,3,9,0,1,0,1,2,2,0,2,22,51,-11.927861533205782,False,IRON
8,2,11,0,3,0,1,0,3,0,2,21,40,-8.861762769289271,False,IRON
9,4,11,0,3,0,2,4,1,1,1,48,57,-5.17440618402604,False,IRON
10,10,6,2,0,2,0,4,2,0,2,56,44,2.67090315232236,True,IRON
11,5,10,0,3,1,2,3,4,0,1,50,48,2.221128611205401,False,IRON
12,11,2,5,0,1,2,4,2,1,0,48,38,6.763693131964878,True,IRON
13,6,10,0,4,0,2,1,5,1,1,30,33,-1.9289869537568478,False,IRON
14,11,6,6,0,1,1,5,0,0,2,60,61,-4.836874421721959,True,IRON
15,2,10,0,2,0,0,1,2,0,2,16,36,-13.351736235384998,False,IRON
16,3,11,0,4,0,0,1,2,0,2,7,36,-13.162084533164805,False,IRON
17,4,10,0,2,0,0,0,5,0,0,22,54,-11.885555379704748,False,IRON
18,2,10,0,2,0,1,2,2,0,2,32,41,-4.694066898282529,False,IRON
19,7,5,1,0,1,0,4,0,0,1,46,27,5.979151915436113,True,IRON
20,10,2,2,0,1,0,3,1,1,1,31,17,13.236243445786961,True,IRON
21,9,5,1,0,1,0,3,1,1,0,33,28,5.702036258629235,True,IRON
22,2,10,0,1,0,0,1,4,1,0,34,42,-6.1846685906568055,False,IRON
23,11,4,5,0,1,1,5,0,1,0,46,28,6.463370163943736,True,IRON
24,4,11,0,4,0,2,2,2,1,0,39,43,-0.613221136177927,False,IRON
25,8,3,1,0,0,0,3,1,0,2,35,23,8.218397156151369,True,IRON
26,2,11,0,4,0,1,1,3,2,0,23,40,-11.837008768554252,False,IRON
27,11,0,3,0,1,0,3,1,1,1,36,18,4.968129513642289,True,IRON
28,4,10,0,2,0,1,0,4,1,1,24,38,-7.980101870734195,False,IRON
29,7,5,1,0,0,1,4,1,2,0,42,30,5.108429617415396,True,IRON
30,9,8,2,1,1,1,3,2,1,1,49,56,-6.699101148214332,False,IRON
31,7,0,1,0,1,0,2,1,1,0,37,13,15.174195192051176,True,IRON
32,11,2,4,0,1,0,5,0,1,1,42,29,8.697318111172393,True,IRON
33,7,10,1,5,1,1,2,4,1,1,49,27,9.798547709325106,True,IRON
34,8,9,1,1,1,2,5,1,1,1,35,34,-3.935348891685557,True,IRON
35,4,11,0,3,0,1,3,1,2,0,22,46,-8.85300587590433,False,IRON
36,4,10,0,3,0,2,3,2,0,2,33,41,-3.678252182225286,False,IRON
37,10,3,2,0,1,0,2,2,1,1,37,25,12.512414454532578,True,IRON
38,11,2,5,0,1,0,3,0,2,0,30,16,14.610427649855929,True,IRON
39,5,8,0,1,0,1,0,4,0,2,24,41,-11.684387554291447,False,IRON
40,9,4,2,0,1,0,2,2,1,1,41,37,2.3223389143569904,True,IRON
41,0,11,0,3,0,0,0,4,0,2,19,45,-12.329042972981512,False,IRON
42,1,11,0,3,0,0,0,3,0,1,3,36,-18.974234725953472,False,IRON
