,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,4,3,0,1,1,3,2,0,2,30,22,4.699580516688627,True,DIAMOND
1,6,7,2,1,0,2,0,5,0,2,39,52,-1.6272836800868191,False,DIAMOND
2,2,11,0,3,0,2,0,4,0,1,30,49,-6.825132013258418,False,DIAMOND
3,9,2,1,0,1,0,4,0,1,0,35,27,5.50685544416568,True,DIAMOND
4,2,9,0,3,0,2,1,3,0,1,36,42,0.7047544278549509,False,DIAMOND
5,2,10,0,1,0,1,2,2,0,2,27,39,-5.280857106085989,False,DIAMOND
6,7,5,1,0,0,1,1,3,1,1,46,32,5.59145817759444,True,DIAMOND
7,3,10,0,2,0,2,2,2,1,1,11,23,-8.272193881609041,False,DIAMOND
8,11,2,2,0,1,0,3,0,1,1,45,23,11.623640733750129,True,DIAMOND
9,3,10,0,2,0,1,1,3,1,1,28,41,-4.203754338265014,False,DIAMOND
10,6,7,1,1,1,0,1,2,1,1,33,25,3.668963143298697,False,DIAMOND
11,4,7,0,1,0,1,1,2,0,1,18,35,-10.717649158519613,False,DIAMOND
12,4,9,0,1,0,1,0,4,0,2,23,38,-8.522674162710004,False,DIAMOND
13,11,4,4,0,1,0,4,0,1,1,61,42,5.433874662481564,True,DIAMOND
14,3,11,0,2,0,1,2,1,0,2,12,22,-10.511992114256806,False,DIAMOND
15,4,7,0,1,1,0,1,2,1,1,22,43,-8.128905998723724,False,DIAMOND
16,8,7,2,0,1,0,0,3,1,1,38,22,9.454967761119306,True,DIAMOND
17,11,1,3,0,1,0,3,1,2,0,26,11,10.48015516123332,True,DIAMOND
18,9,9,2,1,2,0,2,3,1,1,39,42,-3.2190259405070734,False,DIAMOND
19,9,0,1,0,0,1,4,0,1,1,32,16,7.175124476264102,True,DIAMOND
20,10,3,2,0,2,0,2,2,1,1,39,28,5.449495919052559,True,DIAMOND
21,10,2,2,0,0,1,1,1,0,2,30,25,0.7178230003003208,True,DIAMOND
22,9,1,1,0,1,0,2,2,1,1,40,19,9.996638869494866,True,DIAMOND
23,9,5,1,0,2,0,2,3,1,1,49,37,5.07466629759741,True,DIAMOND
24,9,3,2,0,0,1,1,2,2,0,38,26,8.571998413978207,True,DIAMOND
25,10,0,2,0,1,0,2,1,1,0,27,25,5.845275007752775,True,DIAMOND
26,10,2,1,0,1,0,2,1,2,0,38,25,4.372474917301467,True,DIAMOND
27,6,8,0,1,0,1,2,2,1,0,30,36,-1.5621961228153012,False,DIAMOND
28,10,10,2,2,1,1,2,3,1,1,35,37,1.2015284076694286,False,DIAMOND
29,11,0,3,0,0,0,3,0,2,0,37,17,10.956879732320921,True,DIAMOND
30,3,11,0,3,0,1,0,2,0,2,24,37,-6.094394782007022,False,DIAMOND
31,5,7,0,1,1,1,2,3,0,2,28,44,-5.555134897040034,False,DIAMOND
32,9,5,3,0,1,0,3,1,0,2,41,44,1.383378924229767,True,DIAMOND
33,9,3,1,0,1,0,3,1,2,0,36,29,6.923626910230823,True,DIAMOND
34,10,0,3,0,1,0,2,1,1,1,32,12,17.5720731731462,True,DIAMOND
35,4,11,0,3,0,1,0,4,1,1,22,40,-10.389791017775323,False,DIAMOND
36,11,0,3,0,1,0,4,0,2,0,35,20,6.5136036502591566,True,DIAMOND
37,11,2,3,0,1,0,3,1,1,1,31,23,3.467385186844318,True,DIAMOND
