,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,3,1,0,1,0,3,0,1,1,45,22,10.775958896355569,True,SILVER
1,4,11,0,3,0,1,0,4,1,1,21,30,-12.399061740173984,False,SILVER
2,6,10,1,3,1,1,1,4,0,2,31,44,-7.63453798436602,False,SILVER
3,6,6,1,0,1,0,4,1,0,1,48,46,0.6570819700979413,True,SILVER
4,11,7,3,1,2,1,3,3,2,0,56,56,-1.4492659330454103,True,SILVER
5,7,7,1,0,1,0,3,2,0,1,49,32,7.991710443927737,True,SILVER
6,2,10,0,2,1,1,1,4,0,2,37,59,-6.381920447590829,False,SILVER
7,10,4,2,0,1,0,1,3,0,1,35,26,-1.5834514575064418,True,SILVER
8,10,2,2,0,1,0,3,1,1,0,40,17,14.13810611472639,True,SILVER
9,11,3,3,0,2,0,1,3,0,1,35,34,0.3334385240076614,True,SILVER
10,0,11,0,2,0,1,0,4,0,1,19,31,-0.2829913099074801,False,SILVER
11,6,4,1,0,1,0,3,0,1,0,31,10,11.5297124514398,True,SILVER
12,3,11,0,3,0,1,0,4,0,2,15,32,-10.10494772304392,False,SILVER
13,1,8,0,1,0,0,1,2,1,1,31,39,-6.4387288710935735,False,SILVER
14,9,10,3,2,0,2,2,3,1,0,38,35,-1.406218950346151,True,SILVER
15,1,6,0,0,0,1,0,4,1,1,26,46,-8.713071364541207,False,SILVER
16,0,11,0,3,0,1,0,4,1,1,13,30,-12.059191392385586,False,SILVER
17,8,4,1,0,1,1,2,3,1,1,46,35,4.30872667863477,True,SILVER
18,8,4,1,0,1,0,4,0,2,0,37,16,10.285657709034524,True,SILVER
19,2,8,0,1,0,0,0,4,0,1,16,45,-11.559680455728227,False,SILVER
20,10,2,3,0,2,0,2,2,1,0,38,33,-0.5279016481516479,True,SILVER
21,2,4,0,0,0,0,3,0,2,0,22,13,10.58589722770446,True,SILVER
22,10,2,3,0,1,0,2,3,2,0,41,31,3.6951835612770054,True,SILVER
23,8,5,1,0,1,0,2,1,0,1,42,23,12.050232970584318,True,SILVER
24,11,2,3,0,2,0,3,1,0,1,44,23,6.227005628040715,True,SILVER
25,2,10,0,3,0,1,1,3,0,2,33,39,-4.087415044588127,False,SILVER
26,11,2,3,0,0,0,2,0,1,0,34,18,10.949354583381279,True,SILVER
27,4,11,0,4,0,2,3,2,0,2,23,36,-11.993499159176295,False,SILVER
28,9,4,1,0,1,0,3,1,1,0,28,21,6.924687831675179,True,SILVER
29,2,9,0,1,0,1,1,3,0,2,10,26,-14.97432871982339,False,SILVER
30,3,9,0,2,0,1,2,3,1,1,30,44,-2.2816065608121505,False,SILVER
31,8,7,1,0,0,1,2,3,1,1,49,30,11.046605561028258,True,SILVER
32,8,8,3,1,1,1,2,4,1,1,35,48,-8.877010114173935,False,SILVER
33,9,2,2,0,1,0,3,0,0,1,30,25,2.6408730737118162,True,SILVER
34,10,2,2,0,1,0,3,0,2,0,36,25,1.7346461197818215,True,SILVER
35,3,7,0,2,0,1,0,3,2,0,17,33,-11.339433329804422,False,SILVER
36,4,9,0,1,0,1,1,2,0,1,17,36,-8.364514090910141,False,SILVER
37,3,11,0,5,0,1,3,1,0,2,25,38,-8.851461668559061,False,SILVER
38,10,1,1,0,1,0,3,0,0,1,41,20,5.931786793474458,True,SILVER
39,2,11,0,3,0,1,1,2,0,1,15,42,-12.67351918352206,False,SILVER
40,3,10,0,1,0,1,0,3,1,1,18,38,-9.825687702008295,False,SILVER
41,11,1,1,0,1,0,2,1,1,1,29,26,2.2262529670667135,True,SILVER
