,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,7,0,2,0,1,2,1,0,0,27,34,-8.387178464751592,False,SILVER
1,4,10,0,2,0,1,2,1,1,0,26,43,-7.169418038857053,False,SILVER
2,10,4,2,0,0,1,2,3,0,2,66,53,1.9022777207085682,True,SILVER
3,3,11,0,3,0,1,1,4,0,2,28,48,-9.744073981318493,False,SILVER
4,2,8,0,1,0,1,1,3,1,0,40,48,-4.232268679740592,False,SILVER
5,4,9,0,1,0,2,1,4,0,1,33,47,-6.914176170797063,False,SILVER
6,9,10,2,2,0,2,2,4,1,1,61,48,8.10032218183354,False,SILVER
7,10,4,1,0,1,0,3,2,1,1,43,45,-0.22124633716121878,True,SILVER
8,4,11,0,4,1,1,1,4,2,0,41,61,-5.417999284640395,False,SILVER
9,6,11,0,4,1,2,1,6,0,2,32,54,-4.90406836197937,False,SILVER
10,2,11,0,3,0,1,0,4,1,0,29,50,-11.596826099342557,False,SILVER
11,5,10,0,3,1,1,2,4,0,2,45,54,-2.553290843823781,False,SILVER
12,8,7,1,0,0,2,2,2,1,1,39,29,8.783665242592392,True,SILVER
13,4,9,0,2,0,1,2,2,2,0,18,37,-10.954860738867907,False,SILVER
14,8,8,2,1,0,2,2,4,2,0,52,49,4.59574839025759,True,SILVER
15,8,11,1,4,1,1,4,3,2,0,48,39,3.2095981189951175,False,SILVER
