,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,4,1,3,0,0,0,0,0,0,91,76,6.890972068239506,False,BRONZE
1,9,7,2,0,2,0,2,3,0,2,68,46,9.37076519943485,True,BRONZE
2,10,4,2,0,1,0,5,1,1,1,42,44,3.384635615460006,True,BRONZE
3,10,2,3,0,1,0,2,0,1,0,59,28,9.642997518634331,True,BRONZE
4,10,4,2,0,1,0,5,1,2,0,57,36,3.441540412202947,True,BRONZE
5,7,4,1,0,1,0,2,2,1,1,54,29,7.099118767272429,True,BRONZE
6,11,7,3,1,1,0,5,1,1,0,60,42,1.6806906836742286,True,BRONZE
7,0,10,0,3,0,1,1,2,0,2,28,43,-6.600624434899231,False,BRONZE
8,7,5,1,0,0,0,0,4,0,2,23,49,-11.383446476020609,False,BRONZE
9,9,2,1,0,1,0,1,2,0,2,35,18,13.733368041338451,True,BRONZE
10,6,7,0,1,0,2,1,4,0,2,25,45,-5.714253042679772,False,BRONZE
11,2,5,0,0,0,1,0,4,1,1,15,33,-10.739766654889095,False,BRONZE
12,10,3,2,0,2,0,4,0,0,2,42,25,11.065254784289536,True,BRONZE
13,10,2,2,0,1,0,3,0,1,1,40,21,8.26009577745809,True,BRONZE
14,3,10,0,2,0,1,1,2,1,1,22,26,-8.204509071087614,False,BRONZE
15,11,9,5,2,3,0,3,2,0,2,43,32,3.5022010461521873,True,BRONZE
16,2,11,0,5,0,2,1,3,0,2,32,43,-0.1289318848115215,False,BRONZE
17,7,1,0,0,0,0,2,1,2,0,26,18,8.617079200097436,True,BRONZE
18,7,4,1,0,0,0,1,1,0,1,36,25,2.827770940665129,True,BRONZE
19,9,1,3,0,0,0,3,0,1,1,27,12,7.21081303733412,True,BRONZE
20,5,4,0,0,0,1,1,3,0,1,39,35,-2.0260541470414637,True,BRONZE
21,4,2,2,2,0,0,0,0,0,0,63,66,-1.6273871586188733,True,BRONZE
22,10,4,3,0,1,1,4,1,0,1,39,29,0.8004390555372325,True,BRONZE
23,0,4,0,3,0,0,0,0,0,0,51,85,-3.369219359351341,False,BRONZE
