,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,10,0,2,0,1,0,2,1,0,20,42,-13.355790561683698,False,IRON
1,1,10,0,2,0,1,2,2,0,2,24,43,-6.245894791041522,False,IRON
2,5,11,0,4,0,2,0,5,1,1,37,39,-4.365669184731026,False,IRON
3,8,9,2,2,0,2,1,3,1,1,37,58,-7.914611513940351,False,IRON
4,9,9,2,2,0,1,0,4,1,1,49,55,-0.484216204032073,True,IRON
5,11,5,2,0,0,3,4,1,1,1,54,45,2.6340351554800776,True,IRON
6,11,1,3,0,1,0,2,1,2,0,30,16,15.281535607179784,True,IRON
7,10,1,1,0,1,0,3,1,2,0,39,17,12.790144911186566,True,IRON
8,7,0,0,0,0,0,1,1,1,1,36,11,17.57871072047891,True,IRON
9,6,9,0,1,1,0,0,5,1,1,35,47,-6.62665670841298,False,IRON
10,1,11,0,5,0,0,0,4,1,1,29,43,-6.486879282461189,False,IRON
11,2,9,0,2,0,1,2,2,2,0,19,41,-11.918506247846821,False,IRON
12,2,9,0,2,0,2,1,4,1,1,9,30,-13.705350040041274,False,IRON
13,8,8,0,1,1,0,2,3,2,0,26,43,-7.487255402163441,False,IRON
14,6,9,0,2,0,1,3,2,1,1,30,39,-3.1512580227607856,False,IRON
15,11,4,2,0,1,0,2,3,1,1,49,41,2.8566581508566813,True,IRON
16,3,11,0,3,0,2,2,4,0,1,44,67,-5.320000958814845,False,IRON
17,11,0,2,0,0,0,3,0,2,0,44,32,7.803070055240802,True,IRON
18,5,10,0,2,0,1,1,3,2,0,29,43,-8.998759764722315,False,IRON
19,7,8,1,1,1,1,1,4,1,1,27,50,-6.607764689138477,False,IRON
20,3,2,0,0,0,0,2,0,0,1,29,15,7.066330137543751,True,IRON
21,4,9,0,2,2,0,1,4,1,1,43,51,-2.2461594132106484,False,IRON
22,6,9,0,1,0,1,1,4,0,1,39,47,-2.4015619536574633,False,IRON
23,2,10,0,2,0,1,2,4,0,1,18,38,-9.008226141907265,False,IRON
24,2,4,2,2,0,0,0,0,0,0,77,83,-0.8814447455603229,False,IRON
25,11,4,3,0,0,0,4,1,2,0,57,48,-0.9073535510838013,True,IRON
26,6,8,1,1,0,0,2,3,0,1,31,40,-4.955054442191141,False,IRON
27,10,6,2,0,1,0,1,3,1,1,41,18,12.375515301196693,True,IRON
