,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,2,1,1,0,0,0,0,0,0,66,51,4.5028200079327405,True,SILVER
1,4,2,2,1,0,0,0,0,0,0,76,83,-1.6780111023790951,True,SILVER
2,4,4,2,2,0,0,0,0,0,0,78,69,1.1868166264390538,True,SILVER
3,3,9,0,3,0,1,3,2,0,2,36,40,2.2132050705014663,False,SILVER
4,5,11,0,2,0,1,3,2,0,2,27,34,-7.218019756126061,False,SILVER
5,10,2,2,0,0,0,3,0,2,0,38,12,14.298033383916835,True,SILVER
6,3,4,0,0,0,1,0,3,1,0,17,22,-3.6455020572777173,False,SILVER
7,2,9,0,3,0,0,1,2,1,0,42,42,0.24481624868260354,False,SILVER
8,10,4,2,0,1,0,4,1,1,0,31,28,1.2393684483435763,True,SILVER
9,2,9,0,3,0,1,0,4,0,2,26,47,-5.80616114379891,False,SILVER
10,2,4,0,1,0,0,0,0,0,0,42,57,-3.9447732208553674,False,SILVER
11,4,2,1,1,0,0,0,0,0,0,63,52,2.086927547579684,True,SILVER
12,4,2,2,2,0,0,0,0,0,0,72,65,2.160469759448951,True,SILVER
13,1,4,0,1,0,0,0,0,0,0,64,58,-0.02430991342776423,False,SILVER
14,2,4,1,1,0,0,0,0,0,0,72,71,2.1265782956373656,False,SILVER
