,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,2,1,0,0,0,2,1,1,1,26,24,1.694773733655957,True,SILVER
1,8,5,1,0,0,1,2,1,0,0,39,36,2.9917842809002835,True,SILVER
2,5,3,1,0,0,0,0,4,0,2,24,46,-10.067665390985255,False,SILVER
3,1,9,0,2,0,0,0,3,0,1,10,36,-14.746717115523928,False,SILVER
4,4,6,0,1,1,0,0,3,0,1,30,45,-5.630852130214954,False,SILVER
5,10,6,3,0,2,0,4,2,1,1,41,36,-4.402966597167335,True,SILVER
6,9,0,2,0,1,0,4,0,1,0,45,21,15.742795757801453,True,SILVER
7,8,8,0,2,2,0,4,1,2,0,51,33,10.649434404084882,False,SILVER
8,7,2,1,0,0,0,2,0,1,0,27,9,17.73343394161817,True,SILVER
9,8,8,2,1,2,0,3,2,0,1,67,42,8.97437066766705,True,SILVER
10,3,8,0,2,0,0,1,4,1,1,39,50,-0.4529828340799966,False,SILVER
11,11,6,5,0,0,1,1,3,0,0,50,48,-0.12224634771067855,True,SILVER
12,3,4,0,1,0,1,2,1,0,2,24,33,-7.118980017736433,False,SILVER
13,11,3,5,0,1,0,4,1,1,1,36,33,5.4844410897728935,True,SILVER
14,4,8,0,2,0,1,0,4,0,1,31,41,-2.404126779824537,False,SILVER
15,0,10,0,2,0,0,1,1,0,1,20,40,-7.314684032036503,False,SILVER
16,4,11,0,3,1,1,0,4,0,2,24,33,-4.3293013578895625,False,SILVER
17,3,3,0,0,0,0,1,2,1,0,9,26,-11.66958468502039,False,SILVER
18,5,10,0,2,0,0,2,3,1,0,33,58,-10.73779020822817,False,SILVER
19,2,8,0,2,0,0,1,3,0,1,24,34,-6.246969788395603,False,SILVER
20,7,6,1,0,0,0,3,1,0,1,53,54,1.6928084949075028,True,SILVER
21,7,11,0,3,0,1,2,3,1,0,37,51,-3.1435234312745592,False,SILVER
22,8,7,1,0,0,0,1,2,0,1,24,18,5.466627721576039,True,SILVER
23,1,11,0,4,0,1,1,3,0,2,21,33,-5.837610442629497,False,SILVER
24,4,10,0,2,0,0,0,4,0,2,27,36,0.22474719107421492,False,SILVER
25,8,1,1,0,0,0,4,0,2,0,45,15,14.889072887134223,True,SILVER
26,9,3,1,0,1,0,2,2,1,1,36,25,3.887788119076305,True,SILVER
27,2,4,0,0,0,0,1,3,1,1,25,34,-0.6528617320425099,False,SILVER
28,8,10,1,3,1,0,2,2,2,0,27,36,-4.8815143999555275,False,SILVER
29,8,9,1,2,1,1,4,1,0,1,43,34,3.2165227481614025,True,SILVER
30,1,8,0,2,0,1,1,3,0,2,17,34,-12.853346796784063,False,SILVER
31,0,11,0,3,0,1,0,4,0,2,8,19,-8.344426533989491,False,SILVER
