,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,9,0,2,0,1,0,3,1,0,8,27,-12.764116408338786,False,PLATINUM
1,2,4,2,1,0,0,0,0,0,0,68,50,5.176040905467751,False,PLATINUM
2,4,4,1,3,0,0,0,0,0,0,64,85,-3.4994127812149216,False,PLATINUM
3,4,4,1,2,0,0,0,0,0,0,51,49,-1.683896073593914,True,PLATINUM
4,5,7,0,2,0,1,2,3,0,1,20,30,-7.168156618273848,False,PLATINUM
5,9,9,1,2,0,1,0,4,1,1,25,39,-7.887516564917092,False,PLATINUM
6,11,7,3,2,1,0,5,1,1,1,60,55,5.709081698503539,True,PLATINUM
7,5,9,0,1,0,1,3,1,1,0,23,27,-3.492853062532113,False,PLATINUM
8,4,2,2,0,0,0,0,0,0,0,64,67,1.3669955784797736,True,PLATINUM
9,3,4,1,1,0,0,0,0,0,0,57,74,-3.8830073549563195,False,PLATINUM
10,3,4,1,1,0,0,0,0,0,0,65,65,-1.7957021067169734,False,PLATINUM
11,10,6,3,0,2,0,3,3,0,2,46,43,0.23144142221366337,True,PLATINUM
12,4,8,0,1,0,1,1,2,0,2,8,41,-17.469582148378667,False,PLATINUM
13,3,5,0,0,0,0,1,3,1,1,17,28,-4.26758586667102,False,PLATINUM
14,4,2,1,1,0,0,0,0,0,0,79,72,-1.3973314637697172,True,PLATINUM
15,4,4,2,2,0,0,0,0,0,0,75,64,-1.0156371957890542,True,PLATINUM
16,2,4,3,1,0,0,0,0,0,0,71,65,1.0142217232575916,False,PLATINUM
17,0,10,0,2,0,1,0,3,1,1,11,29,-11.116167674555626,False,PLATINUM
18,10,2,2,0,1,0,3,0,1,0,52,25,10.155920752489173,True,PLATINUM
19,4,2,3,1,0,0,0,0,0,0,80,79,1.5681386352169184,True,PLATINUM
20,3,4,1,2,0,0,0,0,0,0,51,76,-5.389779716693745,False,PLATINUM
