,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,10,0,2,1,1,1,5,1,1,50,36,7.716273117264137,False,SILVER
1,5,9,0,1,0,2,1,4,2,0,20,33,-6.103403689391236,False,SILVER
2,8,9,2,2,0,2,0,5,2,0,53,58,-2.651164801597261,False,SILVER
3,2,4,1,3,0,0,0,0,0,0,76,66,-0.43582525275591166,False,SILVER
4,2,4,2,2,0,0,0,0,0,0,71,75,1.0432608932913183,False,SILVER
5,5,4,0,0,1,0,2,0,0,1,27,17,11.334167202076891,True,SILVER
6,2,4,1,1,0,0,0,0,0,0,63,57,0.3012507682855201,False,SILVER
7,8,7,1,1,1,0,4,2,1,1,47,43,-0.17201101459066592,True,SILVER
8,11,0,3,0,0,0,2,1,2,0,23,26,0.6396751256084556,True,SILVER
9,9,4,2,0,1,0,0,3,0,0,39,32,4.54960879258617,True,SILVER
10,4,1,2,0,0,0,0,0,0,0,63,39,5.201513709359041,True,SILVER
11,10,7,1,1,1,1,5,2,2,0,44,39,2.7358404082546457,True,SILVER
12,3,9,0,2,0,1,1,2,2,0,13,27,-4.849778638285905,False,SILVER
13,4,4,3,1,0,0,0,0,0,0,61,69,-0.9575344446156677,False,SILVER
14,4,1,3,0,0,0,0,0,0,0,87,63,2.842962551052956,True,SILVER
15,6,9,0,1,0,1,2,4,0,2,45,53,0.13830402812592268,False,SILVER
16,1,4,0,2,0,0,0,0,0,0,65,69,1.5783878607706328,False,SILVER
17,4,1,2,0,0,0,0,0,0,0,71,58,3.174225467964739,True,SILVER
18,9,1,1,0,1,0,2,1,0,1,29,16,13.195934208105307,True,SILVER
19,3,7,0,2,0,1,0,4,0,2,25,40,-6.13335782110093,False,SILVER
20,3,4,2,2,0,0,0,0,0,0,73,85,-0.6789353727231529,False,SILVER
21,1,7,0,1,0,0,0,4,1,0,21,49,-8.193195871599315,False,SILVER
22,2,9,0,2,0,0,0,4,0,2,20,40,-9.031998768901296,False,SILVER
23,6,3,0,0,1,0,4,0,1,1,30,27,-0.9566981017139824,True,SILVER
24,3,8,0,1,0,1,0,4,0,1,31,39,-10.304569867708523,False,SILVER
25,3,11,0,3,0,1,1,2,2,0,19,29,-11.81480386615712,False,SILVER
26,0,9,0,2,0,0,0,3,0,2,17,30,-9.939382930576457,False,SILVER
27,4,4,1,1,0,0,0,0,0,0,79,85,-0.5837973438350517,False,SILVER
28,3,10,0,2,0,1,1,4,1,0,15,36,-14.795309797766024,False,SILVER
29,4,3,3,2,0,0,0,0,0,0,105,83,3.933974369843945,True,SILVER
30,11,2,4,0,1,0,5,1,2,0,50,40,3.129582452562758,True,SILVER
