,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,2,3,0,0,0,0,0,0,0,88,74,2.399850285135905,True,SILVER
1,4,2,1,2,0,0,0,0,0,0,68,62,2.0951325926015016,True,SILVER
2,3,6,0,1,0,1,0,4,0,2,22,27,-6.0222984638438035,False,SILVER
3,10,1,1,0,0,0,4,0,1,0,40,21,7.66259490731845,True,SILVER
4,10,4,2,0,1,0,3,1,0,2,53,27,10.953466795376194,True,SILVER
5,4,10,0,3,0,3,1,5,0,2,38,48,1.835202573359659,False,SILVER
6,6,10,0,3,0,2,2,4,1,1,37,35,1.3873528406651516,False,SILVER
7,4,2,1,0,0,0,0,0,0,0,73,74,-1.0806321738966105,True,SILVER
8,1,4,0,1,0,0,0,0,0,0,80,72,0.5260045751363265,False,SILVER
9,10,2,2,0,1,0,1,2,2,0,30,24,5.379332589049135,True,SILVER
10,5,9,0,2,0,1,2,2,2,0,49,62,-5.550576262112493,False,SILVER
11,2,11,0,3,0,0,1,2,0,1,22,55,-14.378690155835557,False,SILVER
12,7,9,1,2,1,1,3,3,1,1,40,41,-6.255329251399317,False,SILVER
13,8,5,1,0,1,0,2,3,0,2,38,37,2.801389705791536,True,SILVER
14,1,4,0,2,0,0,0,0,0,0,73,68,1.3693717411421176,False,SILVER
15,4,4,2,1,0,0,0,0,0,0,66,66,-0.20052191534402652,False,SILVER
16,2,4,0,1,0,0,0,0,0,0,54,71,-1.5101655724954384,False,SILVER
17,4,4,1,3,0,0,0,0,0,0,71,82,-1.9662959612966588,True,SILVER
18,5,7,0,1,0,1,0,3,1,1,24,39,-9.330958468037657,False,SILVER
19,5,10,0,1,0,1,2,3,0,1,31,46,-3.5848009001588466,False,SILVER
20,8,7,1,1,2,0,1,4,1,1,50,42,3.856111927251881,True,SILVER
21,5,11,0,5,0,1,2,4,0,2,42,55,-4.448762641366777,False,SILVER
22,10,6,2,0,1,0,4,2,1,0,40,25,7.004020036401165,True,SILVER
23,4,1,1,0,0,0,0,0,0,0,78,65,2.6915261722279453,True,SILVER
24,11,4,3,0,1,0,2,0,1,0,36,20,12.325246108140334,True,SILVER
25,3,10,0,3,0,1,1,3,0,2,27,36,-8.670571801318417,False,SILVER
26,4,9,0,1,0,1,2,3,1,0,42,56,-10.481129706529359,False,SILVER
27,11,2,3,0,1,0,2,2,2,0,35,38,-5.651104977108609,True,SILVER
28,1,9,0,1,0,0,1,1,1,1,32,47,-7.237140640336747,False,SILVER
