,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,3,4,0,1,0,3,1,2,0,38,22,6.35857959140403,True,IRON
1,5,11,0,2,0,1,1,4,1,1,30,44,-5.983193742372251,False,IRON
2,6,9,0,2,1,2,2,3,1,0,54,52,-5.739473677545476,False,IRON
3,7,9,1,2,0,2,0,4,1,1,29,55,-11.095134499151651,False,IRON
4,7,0,0,0,1,0,3,0,2,0,33,13,3.1333145770527153,True,IRON
5,11,7,2,0,1,1,4,1,0,2,57,38,8.664605930473009,True,IRON
6,3,9,0,1,0,0,0,4,0,2,13,34,-16.337275634482758,False,IRON
7,11,4,6,1,1,1,4,2,0,2,43,59,-3.310985197288254,True,IRON
8,3,10,0,3,0,1,2,2,0,2,31,41,-4.861075942487361,False,IRON
9,11,6,3,0,1,0,4,1,0,2,34,32,0.5968159086269438,True,IRON
10,1,9,0,1,0,0,0,3,0,1,24,38,-7.680642958226983,False,IRON
11,11,8,5,2,2,1,3,4,1,1,46,67,-4.534534566916427,True,IRON
12,2,9,0,3,0,1,2,1,0,2,29,35,-3.1318744537460432,False,IRON
13,7,9,1,1,0,0,3,2,0,2,44,56,-3.817479515071639,False,IRON
14,9,9,3,2,1,0,3,3,0,2,29,42,-3.3139883287384606,False,IRON
15,4,10,0,3,0,2,1,5,2,0,32,64,-5.640127508998276,False,IRON
16,7,11,1,4,1,1,3,3,0,2,62,66,-1.8265635541337701,False,IRON
17,5,9,0,2,0,0,2,1,0,2,35,35,1.2792436466654067,False,IRON
18,11,6,4,1,0,2,2,2,0,1,34,54,-8.545069564624676,True,IRON
19,5,10,0,2,0,0,4,1,1,1,46,37,7.972726244228369,False,IRON
20,1,11,0,5,0,2,1,3,1,1,33,39,-1.1425203388859941,False,IRON
21,0,7,0,1,0,0,1,2,0,2,18,23,-6.2308911935814635,False,IRON
22,10,2,2,0,0,0,3,1,2,0,43,30,2.576437681248649,True,IRON
23,9,4,3,0,1,0,3,2,0,1,51,37,4.865393735306348,True,IRON
24,8,11,2,5,1,3,3,5,0,2,54,53,-0.6953548346918197,False,IRON
25,3,11,0,3,0,1,0,4,0,2,25,38,-9.500452699820627,False,IRON
26,9,3,1,0,0,0,3,2,0,2,50,35,7.614985938943114,True,IRON
27,9,6,2,0,1,1,3,1,0,1,67,44,5.5894019887767925,True,IRON
28,11,2,3,0,1,0,4,0,1,1,43,18,10.87631670588192,True,IRON
29,5,11,0,4,0,1,1,5,1,1,40,53,-6.124597747893077,False,IRON
30,8,2,1,0,1,0,3,0,1,1,33,15,12.454601867147517,True,IRON
31,2,8,0,2,0,0,0,2,0,1,11,27,-15.086074594150158,False,IRON
32,9,8,2,1,1,0,4,1,0,1,60,53,-2.2926092933369233,True,IRON
33,2,11,0,4,0,1,0,4,0,2,23,38,-7.600654987307593,False,IRON
34,10,10,2,1,1,0,2,4,0,2,56,42,5.517811412026447,True,IRON
35,2,8,0,3,0,0,1,2,0,2,37,37,-1.7541919691898826,False,IRON
36,3,9,0,2,0,0,0,3,0,2,24,31,-8.341670263828,False,IRON
