,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,6,3,0,1,0,5,1,1,1,61,28,12.263195828368119,True,GOLD
1,10,0,2,0,3,0,3,2,2,0,47,34,1.0551173417765938,True,GOLD
2,11,5,3,0,2,0,5,1,0,2,45,39,2.158529391677,True,GOLD
3,5,9,0,1,1,0,1,4,1,1,39,40,-3.263795051807435,False,GOLD
4,5,8,0,1,0,1,0,4,1,1,50,52,-1.4058758385323813,False,GOLD
5,5,9,0,1,0,1,1,4,1,0,24,36,-7.836942580479068,False,GOLD
6,3,10,0,2,0,1,1,3,0,2,28,46,-8.226249308824926,False,GOLD
7,2,6,0,1,0,1,0,2,0,2,12,35,-15.386420955438147,False,GOLD
8,10,2,2,0,1,0,2,1,1,1,21,13,7.381054512323388,True,GOLD
9,9,3,1,0,1,0,3,2,1,1,31,28,0.8372491281709387,True,GOLD
10,2,8,0,1,0,1,0,3,0,2,18,33,-12.068396738903893,False,GOLD
11,3,7,0,2,0,1,0,3,0,2,19,28,-5.09561298205648,False,GOLD
12,1,8,0,1,0,0,1,3,1,1,17,30,-7.622288899821147,False,GOLD
13,9,9,1,3,1,1,3,2,1,1,39,33,5.395967287568283,True,GOLD
14,8,8,1,1,0,1,2,2,1,1,39,42,-1.1378861857772904,False,GOLD
15,9,2,1,0,2,0,4,1,2,0,46,40,2.456787825942641,True,GOLD
16,3,11,0,3,0,1,1,3,0,1,23,42,-8.244262356117211,False,GOLD
17,6,7,0,1,2,1,2,4,1,1,42,50,-0.017359856385191108,False,GOLD
18,10,6,1,1,2,0,1,3,0,2,45,41,3.624795067298315,True,GOLD
19,8,6,2,0,1,0,4,1,0,1,45,30,6.4424838571409495,True,GOLD
20,4,11,0,5,0,3,2,4,0,2,29,45,-5.532809499704236,False,GOLD
21,11,4,6,0,2,0,4,1,2,0,36,14,7.020590408853387,True,GOLD
22,3,11,0,4,0,2,1,2,2,0,20,43,-8.7922591741779,False,GOLD
23,5,11,0,2,0,1,0,4,1,1,24,37,-4.784773929529919,False,GOLD
24,11,3,3,0,1,0,3,2,1,1,42,14,11.8707120801891,True,GOLD
25,6,8,0,1,1,2,4,1,0,1,33,35,-3.9048964831324184,False,GOLD
26,5,2,0,0,1,0,3,1,0,2,32,20,10.79256593506026,True,GOLD
27,10,7,2,1,1,0,2,3,1,0,29,33,-1.1788475425541591,True,GOLD
28,7,9,0,1,0,1,0,5,2,0,28,50,-7.662749706267952,False,GOLD
29,9,6,3,1,2,0,4,0,0,2,34,16,10.152123700059121,True,GOLD
30,10,3,3,0,2,0,4,1,1,0,42,28,4.975862812440916,True,GOLD
31,1,10,0,2,0,1,0,3,1,1,27,29,-0.32014830367099023,False,GOLD
32,11,9,3,2,1,1,4,1,0,1,41,23,6.7293624184231575,True,GOLD
33,11,3,2,0,3,0,5,0,2,0,40,25,6.96322769901753,True,GOLD
34,9,11,2,4,2,2,2,5,1,1,54,55,0.15780224225575523,False,GOLD
35,10,3,2,0,2,0,4,0,1,1,44,36,0.6753762831617109,True,GOLD
36,6,8,1,1,2,1,4,1,1,0,51,49,3.5902957604229613,False,GOLD
37,3,10,0,4,0,1,1,4,1,1,30,39,-2.882687994886382,False,GOLD
38,8,5,1,0,1,0,4,0,0,2,34,35,-3.1144175328034933,True,GOLD
39,6,4,0,0,2,0,4,0,0,2,31,16,9.690383053553717,True,GOLD
40,7,2,1,0,1,0,2,3,2,0,30,21,8.258425044521267,True,GOLD
41,1,11,0,3,0,1,0,2,0,2,15,36,-12.794826660972674,False,GOLD
42,10,3,2,0,1,0,4,0,1,1,44,33,1.2116501848108143,True,GOLD
43,11,0,3,0,0,0,4,0,2,0,35,20,6.142814575301166,True,GOLD
