,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,11,0,2,0,1,1,2,1,0,31,44,-9.275839296766208,False,PLATINUM
1,5,7,1,1,0,1,1,3,0,1,37,54,-10.250459151984671,False,PLATINUM
2,0,11,0,3,0,1,0,3,1,1,9,45,-17.99755758758198,False,PLATINUM
3,2,11,0,4,0,2,0,5,0,2,32,53,-3.4692565489309857,False,PLATINUM
4,3,9,0,2,0,1,0,4,0,1,34,46,-3.361173489667742,False,PLATINUM
5,9,5,1,0,1,1,3,2,1,0,52,33,9.25869131027708,True,PLATINUM
6,4,10,0,3,0,2,2,4,0,1,35,50,-9.639564285653208,False,PLATINUM
7,1,8,0,1,0,0,1,1,0,1,21,41,-9.673093872931204,False,PLATINUM
8,3,4,0,0,0,0,2,1,0,2,39,17,8.150640669213487,True,PLATINUM
9,3,10,0,4,0,2,2,3,1,0,36,60,-9.065257301581731,False,PLATINUM
10,7,3,0,0,1,0,3,1,1,1,23,21,2.732857522388244,True,PLATINUM
11,2,8,0,1,0,1,1,2,0,2,27,30,0.2588798243344783,False,PLATINUM
12,9,5,2,0,1,0,4,0,0,2,46,22,11.453386416992004,True,PLATINUM
13,4,10,0,2,1,1,1,4,1,0,27,34,-3.1501528178923692,False,PLATINUM
14,3,11,0,3,0,1,0,3,0,0,18,37,-7.718502048798882,False,PLATINUM
15,4,2,1,1,0,0,0,0,0,0,76,84,-1.033409423859105,True,PLATINUM
16,0,11,0,3,0,0,2,2,0,2,27,40,-4.765837601798147,False,PLATINUM
17,2,8,0,1,0,0,0,3,0,2,21,38,-9.007283702184488,False,PLATINUM
18,3,7,0,1,0,0,1,3,1,1,17,28,-11.298182414451105,False,PLATINUM
19,11,4,3,0,1,0,2,3,0,1,34,29,3.8452153116217147,True,PLATINUM
20,9,6,2,1,2,1,4,2,0,1,38,44,-0.3922679330106149,True,PLATINUM
21,1,8,0,1,0,1,1,2,0,2,15,23,-7.193305071718655,False,PLATINUM
22,3,11,0,3,0,1,2,3,2,0,15,30,-12.339659595092016,False,PLATINUM
23,11,7,3,0,1,1,3,2,0,2,51,50,1.4876330602982506,True,PLATINUM
24,9,1,1,0,1,0,3,0,0,1,28,18,7.91220051166875,True,PLATINUM
25,11,1,4,0,1,0,2,2,0,1,30,27,-3.1935785183687457,True,PLATINUM
26,2,10,0,2,0,1,1,3,0,1,35,49,-6.061949724035259,False,PLATINUM
27,9,1,2,0,1,0,3,0,2,0,39,16,11.023102004401231,True,PLATINUM
28,8,6,1,0,0,2,4,0,1,0,35,25,0.43940160786410587,True,PLATINUM
29,10,3,3,0,1,0,3,1,0,2,38,19,9.057202499469952,True,PLATINUM
30,8,10,1,3,1,2,2,4,0,2,37,51,-8.923424411098786,False,PLATINUM
31,9,4,2,0,2,0,2,2,0,1,45,32,3.8970006243976343,True,PLATINUM
