,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,4,0,0,0,1,2,1,2,0,27,24,0.9810345893569661,False,DIAMOND
1,11,3,3,0,1,0,3,1,2,0,51,36,4.477139306738053,True,DIAMOND
2,9,5,2,0,2,0,1,3,0,2,33,35,1.7644263860875569,True,DIAMOND
3,6,1,0,0,1,0,3,1,2,0,36,16,10.832643184799494,True,DIAMOND
4,10,1,1,0,2,0,3,1,1,1,33,20,7.995686206975293,True,DIAMOND
5,3,9,0,2,0,1,1,2,0,2,8,31,-12.868445676294137,False,DIAMOND
6,2,8,0,1,0,1,0,3,0,2,11,23,-7.303037621899726,False,DIAMOND
7,11,1,4,0,2,0,4,1,1,1,40,36,4.864118415029424,True,DIAMOND
8,3,11,0,3,1,1,0,4,1,1,26,47,-7.479488772454403,False,DIAMOND
9,7,4,1,0,2,0,3,1,0,1,38,22,8.54595129654112,True,DIAMOND
10,1,10,0,2,0,1,1,3,2,0,28,38,-9.036021511566084,False,DIAMOND
11,9,8,2,0,2,0,1,3,0,2,36,29,6.594516831624134,True,DIAMOND
12,7,3,1,0,1,0,3,0,0,2,25,14,6.63748832418203,True,DIAMOND
13,1,7,0,1,0,1,0,3,0,2,16,34,-9.138746572300292,False,DIAMOND
14,9,1,1,0,1,0,2,0,0,2,40,17,12.404913645825538,True,DIAMOND
15,11,1,4,0,2,0,4,1,0,1,42,31,1.331824244473843,True,DIAMOND
16,7,2,1,0,1,0,2,2,1,1,35,16,9.941171665742196,True,DIAMOND
17,7,4,3,0,2,0,2,3,1,1,37,28,2.0352034542438133,True,DIAMOND
18,11,5,3,0,2,0,3,2,0,2,44,31,3.7308558142639257,True,DIAMOND
19,5,8,0,1,0,1,3,1,1,1,34,32,1.528517104869323,False,DIAMOND
20,2,8,0,1,0,0,1,1,0,2,22,33,-7.553488201363024,False,DIAMOND
21,10,3,2,0,1,1,4,0,1,1,37,33,2.2857765405632193,True,DIAMOND
22,11,0,2,0,1,0,4,0,0,1,42,28,7.668121736537842,True,DIAMOND
23,9,4,2,0,1,0,2,1,1,0,41,18,13.63463396702684,True,DIAMOND
24,4,9,0,1,0,1,0,3,0,2,12,23,-14.911067944645602,False,DIAMOND
25,5,0,0,0,0,0,3,0,2,0,19,14,1.0465838279150574,True,DIAMOND
26,4,7,0,1,1,0,0,4,1,1,24,35,-5.831753239134287,False,DIAMOND
27,10,1,2,0,1,0,4,0,0,2,41,25,3.1136348218377137,True,DIAMOND
28,11,2,3,0,1,0,2,1,1,1,28,9,11.809816955441505,True,DIAMOND
29,4,10,0,1,0,2,0,4,2,0,20,39,-7.753091897889185,False,DIAMOND
30,3,7,0,1,0,2,0,3,0,2,22,29,-7.538506165156463,False,DIAMOND
31,6,8,1,1,0,1,2,2,0,2,39,44,-2.8879302410952477,False,DIAMOND
32,1,11,0,4,0,1,0,3,0,2,16,33,-10.217461520281532,False,DIAMOND
33,11,0,3,0,1,0,2,1,2,0,39,23,8.351458710149942,True,DIAMOND
34,7,5,1,0,1,0,2,2,0,2,44,38,3.312728964166304,True,DIAMOND
