,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,8,0,1,0,1,1,2,1,0,39,42,-1.9558225430905125,False,GOLD
1,1,11,0,3,0,0,0,3,0,2,19,37,-10.801749278705657,False,GOLD
2,11,7,3,2,1,2,0,4,1,1,52,38,6.490939069085549,True,GOLD
3,2,11,0,3,0,0,1,3,1,0,20,31,-8.196790921502213,False,GOLD
4,8,3,1,0,0,0,2,1,2,0,41,21,10.921351609860405,True,GOLD
5,7,2,1,0,2,0,4,0,0,1,44,28,4.741770042695599,True,GOLD
6,3,11,0,3,0,0,1,2,0,2,33,42,-2.1628298514404207,False,GOLD
7,2,11,0,2,0,1,0,4,1,1,25,44,-7.566433540280322,False,GOLD
8,10,6,2,0,1,0,2,1,0,1,29,31,0.31080124433685796,True,GOLD
9,1,10,0,2,0,0,0,3,1,1,29,52,-8.96893800532532,False,GOLD
10,10,6,2,0,1,0,4,0,1,1,47,30,7.72463930625586,True,GOLD
11,0,11,0,5,0,1,0,3,0,2,43,58,-0.2898995285279824,False,GOLD
12,3,10,0,2,0,1,0,5,0,1,48,46,-2.6907102181779337,False,GOLD
13,9,4,1,0,1,0,4,0,1,1,51,21,14.701299201717251,True,GOLD
14,5,4,0,0,1,0,3,1,1,0,34,30,1.6424731556125565,True,GOLD
15,5,6,0,0,1,0,3,0,0,2,37,26,8.03013161859937,True,GOLD
16,11,9,3,4,0,3,1,4,2,0,32,37,-2.523687261093798,True,GOLD
17,3,8,0,1,0,1,1,2,0,2,26,27,-2.2541585433290194,False,GOLD
18,9,7,2,0,1,1,4,2,0,2,40,15,14.408093997775499,True,GOLD
19,4,9,0,2,0,2,3,3,1,0,35,38,-2.8632816849474665,False,GOLD
20,8,2,1,0,1,0,5,0,2,0,45,40,1.0045747522024868,True,GOLD
21,2,11,0,3,0,0,1,3,0,2,17,38,-8.73867023817833,False,GOLD
22,2,11,0,2,0,0,1,3,1,0,29,44,-5.213934574087851,False,GOLD
23,10,10,2,3,1,2,2,3,1,0,51,43,1.399116713016177,True,GOLD
24,3,11,0,3,0,1,1,2,1,1,32,39,-5.450871145251497,False,GOLD
25,1,10,0,2,0,1,0,3,1,1,10,32,-13.21823642359022,False,GOLD
26,2,8,0,1,0,1,0,2,0,1,18,40,-10.344415433636648,False,GOLD
27,4,11,0,3,0,1,1,3,0,1,24,48,-10.650337639868084,False,GOLD
28,4,10,0,2,0,1,1,2,0,2,33,53,-6.999685556032475,False,GOLD
29,11,1,4,0,1,0,4,1,1,0,40,24,5.9937557440458065,True,GOLD
30,7,11,1,2,1,1,0,5,1,1,39,44,-1.2197949870538025,False,GOLD
31,4,11,0,4,0,3,3,3,0,2,33,33,-1.3908727851692504,False,GOLD
32,7,11,1,1,0,3,0,5,2,0,66,68,-5.366450346565621,False,GOLD
33,4,10,0,2,0,1,0,4,0,2,29,42,-6.4849123955546375,False,GOLD
34,10,4,2,0,1,0,2,2,2,0,33,20,7.311153064480713,True,GOLD
35,10,4,2,0,0,1,3,2,1,0,45,44,2.3679646895058966,True,GOLD
36,3,11,0,3,1,0,0,4,1,1,32,37,-0.3982526060381062,False,GOLD
37,1,9,0,1,0,0,0,3,0,2,18,37,-9.746083413444296,False,GOLD
