,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,11,0,3,0,0,1,2,0,2,19,26,-3.630108297585437,False,SILVER
1,11,9,3,2,1,1,4,1,1,0,60,42,6.429281518439495,True,SILVER
2,6,7,0,1,0,0,1,3,1,0,41,27,9.444873155040796,False,SILVER
3,4,9,0,2,0,1,1,2,1,1,23,28,0.11647994390539651,False,SILVER
4,0,10,0,2,0,1,1,3,1,0,30,40,-5.3293456142410776,False,SILVER
5,9,8,5,2,1,2,2,4,1,0,36,48,-2.768709097464807,True,SILVER
6,9,2,1,0,1,0,3,1,2,0,39,37,-3.5605587942308645,True,SILVER
7,10,7,1,1,0,1,3,2,1,1,50,53,-3.4547069050923156,False,SILVER
8,3,4,1,2,0,0,0,0,0,0,68,87,-1.2761381285089541,False,SILVER
9,4,4,1,2,0,0,0,0,0,0,76,78,0.2390345783622081,False,SILVER
10,11,0,3,0,1,0,4,0,1,0,41,22,5.024050422948051,True,SILVER
11,2,4,1,2,0,0,0,0,0,0,84,67,3.4828023394859002,False,SILVER
12,4,2,2,1,0,0,0,0,0,0,90,87,2.0186726372426875,True,SILVER
13,4,2,1,1,0,0,0,0,0,0,43,54,-3.2863467932244603,True,SILVER
14,4,3,1,2,0,0,0,0,0,0,90,81,0.30471213635400574,True,SILVER
15,5,10,0,3,0,1,0,4,0,2,36,32,2.663141282246656,False,SILVER
16,3,10,0,2,0,1,2,2,0,2,17,32,-7.107179337227031,False,SILVER
17,7,6,1,0,1,0,3,2,0,2,34,25,9.366302398813232,True,SILVER
18,6,10,0,2,0,2,4,2,1,0,39,46,-8.129206851876745,False,SILVER
19,11,5,2,0,1,0,3,1,1,1,46,31,8.478012300708215,True,SILVER
20,11,0,3,0,1,0,1,2,2,0,28,17,6.190554206379332,True,SILVER
21,2,9,0,3,0,0,0,4,0,1,25,39,-2.7935255803267083,False,SILVER
22,8,7,1,1,2,0,3,3,1,1,45,36,3.093424019531618,True,SILVER
23,10,3,2,0,1,0,3,1,1,0,55,44,2.784622073625812,True,SILVER
24,4,4,2,1,0,0,0,0,0,0,104,68,7.941177703374407,True,SILVER
25,4,2,3,2,0,0,0,0,0,0,84,76,-0.2735721678967167,True,SILVER
