,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,1,2,0,0,0,0,0,0,0,69,64,0.22687393998540983,True,GOLD
1,2,4,1,2,0,0,0,0,0,0,75,88,-2.5819821510068977,False,GOLD
2,4,2,1,1,0,0,0,0,0,0,72,67,-1.4904190857638682,True,GOLD
3,4,4,1,2,0,0,0,0,0,0,71,67,0.7500696070787924,False,GOLD
4,2,4,0,3,0,0,0,0,0,0,56,78,-5.333202597192262,False,GOLD
5,2,4,1,2,0,0,0,0,0,0,51,56,-0.12268178812014696,False,GOLD
6,1,4,0,2,0,0,0,0,0,0,39,72,-4.466582008473814,False,GOLD
7,1,4,0,1,0,0,0,0,0,0,42,47,0.7341420842606396,False,GOLD
8,4,4,2,1,0,0,0,0,0,0,71,66,1.7441605843453516,True,GOLD
9,1,4,0,5,0,0,0,0,0,0,94,113,-2.1570750668778516,False,GOLD
10,9,3,1,0,1,0,4,0,1,1,30,27,2.16343889203236,True,GOLD
11,2,9,0,2,0,1,2,1,1,1,21,27,-3.5251046950164096,False,GOLD
12,4,2,1,0,0,0,0,0,0,0,54,51,-1.8134318292480742,True,GOLD
